sample_size,mean_pi,c_dim,param1,param2,risk_diff_m0,risk_diff_m1,risk_diff
5000000,0.41447959715432403,15,1.29,1.05,0.02469639698867383,0.025076750945390858,0.023797961866826815
5000000,0.41447959715432403,15,1.29,1.29,0.025016902915463084,-1.468876793404828e-17,0.010650827770604743
5000000,0.41447959715432403,15,1.29,1.6,0.025285492062322376,-0.024726698129234895,-0.0028921046987877373
5000000,0.41447959715432403,15,1,0.815,0,0.025355760509418953,0.012987805095394983
5000000,0.41447959715432403,15,1,1,0,0,0
5000000,0.41447959715432403,15,1,1.24,0,-0.025140311286299146,-0.013437543423261231
5000000,0.41447959715432403,15,0.765,0.625,-0.024587142390018083,0.02549191151924802,0.001841253327950544
5000000,0.41447959715432403,15,0.765,0.765,-0.02499782071517516,2.2630505741997913e-17,-0.010915366383508473
5000000,0.41447959715432403,15,0.765,0.945,-0.025357384306547916,-0.02515773363312698,-0.0240295585754665
5000000,0.40642376546549513,10,1.291,1.06,0.024570291528777804,0.0250739280151737,0.024051631087184454
5000000,0.40642376546549513,10,1.291,1.291,0.025051558537554086,-1.7127275866410688e-17,0.011769694508668962
5000000,0.40642376546549513,10,1.291,1.59,0.025505445460191088,-0.02498592115200217,-0.0010947223224856942
5000000,0.40642376546549513,10,1,0.825,0,0.02496184137294582,0.01191160449107881
5000000,0.40642376546549513,10,1,1,0,0,0
5000000,0.40642376546549513,10,1,1.23,0,-0.02536327056136105,-0.012699750321208356
5000000,0.40642376546549513,10,0.761,0.63,-0.024495831127153478,0.025029696080162464,-6.322505677228998e-4
5000000,0.40642376546549513,10,0.761,0.761,-0.025048351536523288,0,-0.01225985519525776
5000000,0.40642376546549513,10,0.761,0.93,-0.02558289386149927,-0.02513572042272293,-0.02448406658574008
5000000,0.39522235476777084,5,1.31,1.08,0.024571037496449087,0.025234134522866807,0.0247166334670612
5000000,0.39522235476777084,5,1.31,1.31,0.025237063810786598,0,0.01395216956536295
5000000,0.39522235476777084,5,1.31,1.61,0.02592213099607912,-0.025259735658965127,0.002477389810452354
5000000,0.39522235476777084,5,1,0.83,0,0.02503071517982098,0.010307185539149461
5000000,0.39522235476777084,5,1,1,0,0,0
5000000,0.39522235476777084,5,1,1.22,0,-0.0251126276611127,-0.010976134174533385
5000000,0.39522235476777084,5,0.745,0.62,-0.024301703004200023,0.025411701727208146,-0.004706759395248409
5000000,0.39522235476777084,5,0.745,0.745,-0.025006634738907338,0,-0.014790484087517992
5000000,0.39522235476777084,5,0.745,0.9,-0.025713362533721723,-0.024656335438641777,-0.02514271170798205
