sample_size,mean_pi,param1,param2,c_dim,risk_diff_m0,risk_diff_m1,risk_diff
5000000,0.41447959715432403,1.29,1.05,15,0.02469639698867383,0.025076750945390858,0.024854045943429957
5000000,0.41447959715432403,1.29,1.29,15,0.025016902915463084,-1.468876793404828e-17,0.014647907073013104
5000000,0.41447959715432403,1.29,1.6,15,0.025285492062322376,-0.024726698129234895,0.004556459618920283
5000000,0.41447959715432403,1,0.815,15,0,0.025355760509418953,0.010509445401485485
5000000,0.41447959715432403,1,1,15,0,0,0
5000000,0.41447959715432403,1,1.24,15,0,-0.025140311286299146,-0.010420146094279575
5000000,0.41447959715432403,0.765,0.625,15,-0.024587142390018083,0.02549191151924802,-0.0038303962998357936
5000000,0.41447959715432403,0.765,0.765,15,-0.02499782071517516,2.2630505741997913e-17,-0.014636734055413334
5000000,0.41447959715432403,0.765,0.945,15,-0.025357384306547916,-0.02515773363312698,-0.025274633175856816
