group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,1000,15,1.29,1.05,0.4141834973074575,0.02379796186682681,-1.236299164004426e-5,3.3842684529111494e-7,NA
1,oracle_cate_m0,1000,15,1.29,1.05,0.4141834973074575,0.02469639698867383,-2.0133365162614402e-5,4.144660152511711e-7,NA
1,oracle_cate_m1,1000,15,1.29,1.05,0.4141834973074575,0.02507675094539085,-9.16005823744493e-6,3.0073302498188984e-7,NA
1,gComp_ate,1000,15,1.29,1.05,0.4141834973074575,0.02379796186682681,-0.0016250418722133808,5.35993761537514e-4,0.954
1,gComp_cate_m0,1000,15,1.29,1.05,0.4141834973074575,0.02469639698867383,8.6244727528892907e-05,0.0012033938710746895,0.946
1,gComp_cate_m1,1000,15,1.29,1.05,0.4141834973074575,0.02507675094539085,-0.0023144422325616326,0.0011015673212103907,0.952
1,causal_forest_ate,1000,15,1.29,1.05,0.4141834973074575,0.02379796186682681,0.08674453962211269,0.008207013645038423,0.067
1,causal_forest_cate_m0,1000,15,1.29,1.05,0.4141834973074575,0.02469639698867383,0.05164862090546892,0.0034309975245620326,0.453
1,causal_forest_cate_m1,1000,15,1.29,1.05,0.4141834973074575,0.02507675094539085,0.13394323558781587,0.020222962583654483,0.178
1,causal_forest_SL_ate,1000,15,1.29,1.05,0.4141834973074575,0.02379796186682681,-0.022780637573281807,6.00104007047699e-4,0.975
1,causal_forest_SL_cate_m0,1000,15,1.29,1.05,0.4141834973074575,0.02469639698867383,-0.02023594436634671,8.699161463351166e-4,0.877
1,causal_forest_SL_cate_m1,1000,15,1.29,1.05,0.4141834973074575,0.02507675094539085,-0.02890884725969153,0.0019152087633744661,0.982
1,DRLearner_ate,1000,15,1.29,1.05,0.4141834973074575,0.02379796186682681,-2.7565096381161944e-4,6.000791530792023e-4,0.954
1,DRLearner_cate_m0,1000,15,1.29,1.05,0.4141834973074575,0.02469639698867383,-0.007048903822575794,6.675013343841609e-4,0.933
1,DRLearner_cate_m1,1000,15,1.29,1.05,0.4141834973074575,0.02507675094539085,0.0067624614861657405,0.002475709596014327,0.96
2,oracle_ate,1000,15,1.29,1.29,0.4141834973074575,0.01065082777060474,1.296819564405454e-6,5.137818653385821e-8,NA
2,oracle_cate_m0,1000,15,1.29,1.29,0.4141834973074575,0.02501690291546308,-1.914794547481619e-5,4.233891063043629e-7,NA
2,oracle_cate_m1,1000,15,1.29,1.29,0.4141834973074575,-1.4688767934048278e-17,8.664981167478915e-20,6.144203528692605e-37,NA
2,gComp_ate,1000,15,1.29,1.29,0.4141834973074575,0.01065082777060474,-0.002438547497518205,4.966891906461734e-4,0.956
2,gComp_cate_m0,1000,15,1.29,1.29,0.4141834973074575,0.02501690291546308,-3.9636544219091017e-4,0.0011909885747790636,0.949
2,gComp_cate_m1,1000,15,1.29,1.29,0.4141834973074575,-1.4688767934048278e-17,-0.0018624607437755217,9.730534266443284e-4,0.955
2,causal_forest_ate,1000,15,1.29,1.29,0.4141834973074575,0.01065082777060474,0.08826732314566467,0.008425894006573178,0.055
2,causal_forest_cate_m0,1000,15,1.29,1.29,0.4141834973074575,0.02501690291546308,0.053502229610757054,0.0036242081179846436,0.435
2,causal_forest_cate_m1,1000,15,1.29,1.29,0.4141834973074575,-1.4688767934048278e-17,0.12786336533832088,0.018429403537967765,0.209
2,causal_forest_SL_ate,1000,15,1.29,1.29,0.4141834973074575,0.01065082777060474,-0.010891217362724312,1.9153659600803846e-4,1
2,causal_forest_SL_cate_m0,1000,15,1.29,1.29,0.4141834973074575,0.02501690291546308,-0.013141389554460208,6.200418113593653e-4,0.937
2,causal_forest_SL_cate_m1,1000,15,1.29,1.29,0.4141834973074575,-1.4688767934048278e-17,-0.017383351670254482,0.0013083737216889537,0.99
2,DRLearner_ate,1000,15,1.29,1.29,0.4141834973074575,0.01065082777060474,-0.0011870878640470731,5.59212462305487e-4,0.96
2,DRLearner_cate_m0,1000,15,1.29,1.29,0.4141834973074575,0.02501690291546308,-0.007253212117465455,6.774902213615478e-4,0.929
2,DRLearner_cate_m1,1000,15,1.29,1.29,0.4141834973074575,-1.4688767934048278e-17,-0.002280424998510191,0.0021649363434565637,0.953
3,oracle_ate,1000,15,1.29,1.6,0.4141834973074575,-0.00289210469878773,1.4902719590484524e-5,1.291727107123215e-7,NA
3,oracle_cate_m0,1000,15,1.29,1.6,0.4141834973074575,0.02528549206232237,-1.8066033827376128e-5,4.3154787404344595e-7,NA
3,oracle_cate_m1,1000,15,1.29,1.6,0.4141834973074575,-0.02472669812923489,1.0198415123481422e-5,3.299296486179756e-7,NA
3,gComp_ate,1000,15,1.29,1.6,0.4141834973074575,-0.00289210469878773,-0.003118696868826075,4.9969321945722e-4,0.949
3,gComp_cate_m0,1000,15,1.29,1.6,0.4141834973074575,0.02528549206232237,-3.6380901412436806e-4,0.0011650565575274108,0.955
3,gComp_cate_m1,1000,15,1.29,1.6,0.4141834973074575,-0.02472669812923489,-0.0020912749155030433,9.489256880443799e-4,0.953
3,causal_forest_ate,1000,15,1.29,1.6,0.4141834973074575,-0.00289210469878773,0.0898068570632406,0.008745139134620437,0.053
3,causal_forest_cate_m0,1000,15,1.29,1.6,0.4141834973074575,0.02528549206232237,0.05561130639798653,0.0038772986308510224,0.409
3,causal_forest_cate_m1,1000,15,1.29,1.6,0.4141834973074575,-0.02472669812923489,0.1202363906356468,0.01665860920334646,0.27
3,causal_forest_SL_ate,1000,15,1.29,1.6,0.4141834973074575,-0.00289210469878773,0.0015086823666018807,7.39787266887207e-5,1
3,causal_forest_SL_cate_m0,1000,15,1.29,1.6,0.4141834973074575,0.02528549206232237,-0.004787814033678985,4.6912809507863884e-4,0.974
3,causal_forest_SL_cate_m1,1000,15,1.29,1.6,0.4141834973074575,-0.02472669812923489,-0.007625517248263803,0.0010421479966725136,0.997
3,DRLearner_ate,1000,15,1.29,1.6,0.4141834973074575,-0.00289210469878773,-0.0018131593912224405,5.662731112222607e-4,0.959
3,DRLearner_cate_m0,1000,15,1.29,1.6,0.4141834973074575,0.02528549206232237,-0.006828924632404941,6.792958792975472e-4,0.934
3,DRLearner_cate_m1,1000,15,1.29,1.6,0.4141834973074575,-0.02472669812923489,-0.012738601948179653,0.002284069020675493,0.948
4,oracle_ate,1000,15,1,0.815,0.4141834973074575,0.01298780509539498,-1.3681811152827795e-5,1.7960246930658405e-7,NA
4,oracle_cate_m0,1000,15,1,0.815,0.4141834973074575,0,0,0,NA
4,oracle_cate_m1,1000,15,1,0.815,0.4141834973074575,0.02535576050941895,-8.506994632070944e-6,3.016326498497175e-7,NA
4,gComp_ate,1000,15,1,0.815,0.4141834973074575,0.01298780509539498,-9.023614784667271e-5,5.372335513893143e-4,0.956
4,gComp_cate_m0,1000,15,1,0.815,0.4141834973074575,0,1.6713209088654141e-4,0.0011797293057984395,0.942
4,gComp_cate_m1,1000,15,1,0.815,0.4141834973074575,0.02535576050941895,-0.0026062950559922827,0.001148641871775139,0.952
4,causal_forest_ate,1000,15,1,0.815,0.4141834973074575,0.01298780509539498,0.08569131342407112,0.008007421065181873,0.067
4,causal_forest_cate_m0,1000,15,1,0.815,0.4141834973074575,0,0.05636262786510476,0.003889264389577215,0.331
4,causal_forest_cate_m1,1000,15,1,0.815,0.4141834973074575,0.02535576050941895,0.1332951838808254,0.02007295431989495,0.194
4,causal_forest_SL_ate,1000,15,1,0.815,0.4141834973074575,0.01298780509539498,-0.012875919853525116,2.4690617209096677e-4,0.997
4,causal_forest_SL_cate_m0,1000,15,1,0.815,0.4141834973074575,0,-0.006122119817780375,4.759141523475813e-4,0.972
4,causal_forest_SL_cate_m1,1000,15,1,0.815,0.4141834973074575,0.02535576050941895,-0.016387986230989224,0.001318405145749639,0.995
4,DRLearner_ate,1000,15,1,0.815,0.4141834973074575,0.01298780509539498,9.706469286717278e-4,6.136006859878664e-4,0.95
4,DRLearner_cate_m0,1000,15,1,0.815,0.4141834973074575,0,0.001628493929760834,5.946228051093526e-4,0.955
4,DRLearner_cate_m1,1000,15,1,0.815,0.4141834973074575,0.02535576050941895,0.0060689251923434434,0.002521437803845837,0.95
5,oracle_ate,1000,15,1,1,0.4141834973074575,0,0,0,NA
5,oracle_cate_m0,1000,15,1,1,0.4141834973074575,0,0,0,NA
5,oracle_cate_m1,1000,15,1,1,0.4141834973074575,0,0,0,NA
5,gComp_ate,1000,15,1,1,0.4141834973074575,0,-0.0012421085693092241,5.128549008658434e-4,0.952
5,gComp_cate_m0,1000,15,1,1,0.4141834973074575,0,1.9597222378495263e-5,0.0011801393519480824,0.951
5,gComp_cate_m1,1000,15,1,1,0.4141834973074575,0,-0.0022768162414492925,0.001033858933346437,0.955
5,causal_forest_ate,1000,15,1,1,0.4141834973074575,0,0.08664899469897336,0.00816178033240926,0.061
5,causal_forest_cate_m0,1000,15,1,1,0.4141834973074575,0,0.05826180686451506,0.004118551064406892,0.332
5,causal_forest_cate_m1,1000,15,1,1,0.4141834973074575,0,0.12693135948046932,0.018280668611839083,0.227
5,causal_forest_SL_ate,1000,15,1,1,0.4141834973074575,0,-9.780311616222363e-4,7.495165847261864e-5,1
5,causal_forest_SL_cate_m0,1000,15,1,1,0.4141834973074575,0,0.0011005197005827757,4.272965515562425e-4,0.985
5,causal_forest_SL_cate_m1,1000,15,1,1,0.4141834973074575,0,-0.0038920517501886734,9.689737467455066e-4,0.997
5,DRLearner_ate,1000,15,1,1,0.4141834973074575,0,-1.694290738957056e-4,5.719427625095554e-4,0.951
5,DRLearner_cate_m0,1000,15,1,1,0.4141834973074575,0,0.0015584756354115985,6.00729648569458e-4,0.959
5,DRLearner_cate_m1,1000,15,1,1,0.4141834973074575,0,-0.0025994994705029915,0.002196486594281006,0.95
6,oracle_ate,1000,15,1,1.24,0.4141834973074575,-0.01343754342326123,1.3689637919398655e-5,1.9347550759950643e-7,NA
6,oracle_cate_m0,1000,15,1,1.24,0.4141834973074575,0,0,0,NA
6,oracle_cate_m1,1000,15,1,1.24,0.4141834973074575,-0.02514031128629914,9.60174735776722e-6,3.3425868526956784e-7,NA
6,gComp_ate,1000,15,1,1.24,0.4141834973074575,-0.01343754342326123,-0.0022132532820893242,4.991807227080988e-4,0.953
6,gComp_cate_m0,1000,15,1,1.24,0.4141834973074575,0,1.4235233683029857e-4,0.0011875937575779657,0.947
6,gComp_cate_m1,1000,15,1,1.24,0.4141834973074575,-0.02514031128629914,-0.002309214942999867,9.544212681375458e-4,0.965
6,causal_forest_ate,1000,15,1,1.24,0.4141834973074575,-0.01343754342326123,0.08794090394742558,0.008410219375566803,0.058
6,causal_forest_cate_m0,1000,15,1,1.24,0.4141834973074575,0,0.0604260681548383,0.004407256383220691,0.332
6,causal_forest_cate_m1,1000,15,1,1.24,0.4141834973074575,-0.02514031128629914,0.11966543139960041,0.016496522079338275,0.273
6,causal_forest_SL_ate,1000,15,1,1.24,0.4141834973074575,-0.01343754342326123,0.011771719530176836,2.0937307059772035e-4,0.997
6,causal_forest_SL_cate_m0,1000,15,1,1.24,0.4141834973074575,0,0.009696091215052917,5.222438330739742e-4,0.976
6,causal_forest_SL_cate_m1,1000,15,1,1.24,0.4141834973074575,-0.02514031128629914,0.007440999684867246,0.001019686939872153,0.998
6,DRLearner_ate,1000,15,1,1.24,0.4141834973074575,-0.01343754342326123,-0.0010541928952918708,5.553453055041708e-4,0.954
6,DRLearner_cate_m0,1000,15,1,1.24,0.4141834973074575,0,0.0019847560693799543,6.233888180240354e-4,0.95
6,DRLearner_cate_m1,1000,15,1,1.24,0.4141834973074575,-0.02514031128629914,-0.012621643631393346,0.0022290013350090188,0.95
7,oracle_ate,1000,15,0.765,0.625,0.4141834973074575,0.00184125332795054,-1.4697138182769189e-5,1.1710594260088887e-7,NA
7,oracle_cate_m0,1000,15,0.765,0.625,0.4141834973074575,-0.02458714239001808,2.302228137091804e-5,4.502663835931809e-7,NA
7,oracle_cate_m1,1000,15,0.765,0.625,0.4141834973074575,0.02549191151924802,-7.753578657838872e-6,2.991301769494153e-7,NA
7,gComp_ate,1000,15,0.765,0.625,0.4141834973074575,0.00184125332795054,0.0024612651734869737,5.204721657974611e-4,0.956
7,gComp_cate_m0,1000,15,0.765,0.625,0.4141834973074575,-0.02458714239001808,9.845811394925228e-4,0.0011439782169767002,0.94
7,gComp_cate_m1,1000,15,0.765,0.625,0.4141834973074575,0.02549191151924802,-0.0025612312041288798,0.0011618557932575636,0.953
7,causal_forest_ate,1000,15,0.765,0.625,0.4141834973074575,0.00184125332795054,0.08573487687910794,0.00797424047242478,0.062
7,causal_forest_cate_m0,1000,15,0.765,0.625,0.4141834973074575,-0.02458714239001808,0.06172833763867882,0.004473696097537873,0.238
7,causal_forest_cate_m1,1000,15,0.765,0.625,0.4141834973074575,0.02549191151924802,0.13355445112626338,0.020156719704657905,0.188
7,causal_forest_SL_ate,1000,15,0.765,0.625,0.4141834973074575,0.00184125332795054,-0.0026267947831662415,8.690027534722718e-5,1
7,causal_forest_SL_cate_m0,1000,15,0.765,0.625,0.4141834973074575,-0.02458714239001808,0.007796903426451389,4.888757911192437e-4,0.964
7,causal_forest_SL_cate_m1,1000,15,0.765,0.625,0.4141834973074575,0.02549191151924802,-0.0035763142556203683,0.0010518539556072363,0.997
7,DRLearner_ate,1000,15,0.765,0.625,0.4141834973074575,0.00184125332795054,0.003482112680657971,5.936590339442317e-4,0.952
7,DRLearner_cate_m0,1000,15,0.765,0.625,0.4141834973074575,-0.02458714239001808,0.011114868769761503,6.781616618957355e-4,0.93
7,DRLearner_cate_m1,1000,15,0.765,0.625,0.4141834973074575,0.02549191151924802,0.006457265994842692,0.002496267631762668,0.955
8,oracle_ate,1000,15,0.765,0.765,0.4141834973074575,-0.01091536638350847,-1.0902101257888076e-6,5.933027711041528e-8,NA
8,oracle_cate_m0,1000,15,0.765,0.765,0.4141834973074575,-0.02499782071517516,2.2143387501268284e-5,4.6171969768212844e-7,NA
8,oracle_cate_m1,1000,15,0.765,0.765,0.4141834973074575,2.263050574199791e-17,1.6608683354951456e-20,1.146415832338434e-36,NA
