group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,1000,5,1.31,1.08,0.395268072334919,0.02472200902092545,-6.775860018373572e-4,5.034688889237181e-4,0.947
1,gComp_cate_m0,1000,5,1.31,1.08,0.395268072334919,0.02457784002027961,-0.001501356907440446,8.127678999446591e-4,0.95
1,gComp_cate_m1,1000,5,1.31,1.08,0.395268072334919,0.025238120794358786,0.0012962611812405796,0.001210428078366374,0.942
1,causal_forest_ate,1000,5,1.31,1.08,0.395268072334919,0.02472200902092545,0.013068128835635481,7.094701295887318e-4,0.871
1,causal_forest_cate_m0,1000,5,1.31,1.08,0.395268072334919,0.02457784002027961,0.0025643637354258136,6.06606188172864e-4,0.948
1,causal_forest_cate_m1,1000,5,1.31,1.08,0.395268072334919,0.025238120794358786,0.028934697312594775,0.0028101747234360666,0.883
1,causal_forest_SL_ate,1000,5,1.31,1.08,0.395268072334919,0.02472200902092545,-0.023744641523157042,5.929171219774002e-4,0.98
1,causal_forest_SL_cate_m0,1000,5,1.31,1.08,0.395268072334919,0.02457784002027961,-0.021596912168179907,8.208092439897046e-4,0.898
1,causal_forest_SL_cate_m1,1000,5,1.31,1.08,0.395268072334919,0.025238120794358786,-0.027266264318483065,0.0015673768303704767,0.98
1,DRLearner_ate,1000,5,1.31,1.08,0.395268072334919,0.02472200902092545,-5.21586830969619e-4,5.20914510383567e-4,0.947
1,DRLearner_cate_m0,1000,5,1.31,1.08,0.395268072334919,0.02457784002027961,-0.006129466961821968,6.000136980742877e-4,0.956
1,DRLearner_cate_m1,1000,5,1.31,1.08,0.395268072334919,0.025238120794358786,0.007836839143957617,0.002053536541431927,0.936
2,gComp_ate,1000,5,1.31,1.31,0.395268072334919,0.013952505326580768,-0.0019314577022775795,5.157025763640824e-4,0.948
2,gComp_cate_m0,1000,5,1.31,1.31,0.395268072334919,0.025244151083437468,-0.0016930605269373433,8.284075051863995e-4,0.951
2,gComp_cate_m1,1000,5,1.31,1.31,0.395268072334919,0,0.0017094282363886587,0.001158938660226859,0.949
2,causal_forest_ate,1000,5,1.31,1.31,0.395268072334919,0.013952505326580768,0.011937161546462257,6.964387868692243e-4,0.874
2,causal_forest_cate_m0,1000,5,1.31,1.31,0.395268072334919,0.025244151083437468,0.002548971822492078,6.129243684462056e-4,0.953
2,causal_forest_cate_m1,1000,5,1.31,1.31,0.395268072334919,0,0.023089395295969845,0.00252772049541626,0.895
2,causal_forest_SL_ate,1000,5,1.31,1.31,0.395268072334919,0.013952505326580768,-0.013695115867047853,2.1620739612754648e-4,0.998
