group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,10000,5,1.31,1.08,0.3952489818963304,0.0247166334670612,1.794615568326472e-6,2.3418370280281257e-8,NA
1,oracle_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,1.7709043169173884e-6,2.959942307220296e-8,NA
1,oracle_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,2.0318022379063224e-6,1.8377179418967487e-8,NA
1,gComp_ate,10000,5,1.31,1.08,0.3952489818963304,0.0247166334670612,-1.964513973926214e-4,5.3814414377617326e-5,0.937
1,gComp_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,3.137328721395422e-5,8.912484889875628e-5,0.939
1,gComp_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,7.38619950445845e-4,1.1462320464131084e-4,0.94
1,causal_forest_ate,10000,5,1.31,1.08,0.3952489818963304,0.0247166334670612,0.006927887174385768,1.0501890664341126e-4,0.787
1,causal_forest_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,-2.868143155045914e-4,6.351086902105521e-5,0.936
1,causal_forest_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,0.017677569138229772,5.010624918456636e-4,0.751
1,causal_forest_SL_ate,10000,5,1.31,1.08,0.3952489818963304,0.0247166334670612,-0.024444404816038958,5.991584516528302e-4,0.012
1,causal_forest_SL_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,-0.021278899449757176,4.8704613330058393e-4,0.15
1,causal_forest_SL_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,-0.029589806600019506,9.551297963638719e-4,0.399
1,DRLearner_ate,10000,5,1.31,1.08,0.3952489818963304,0.0247166334670612,-6.17737380705169e-5,5.538126928021748e-5,0.938
1,DRLearner_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,-0.005020125180334344,8.730093205177114e-5,0.876
1,DRLearner_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,0.0072305079511947685,2.4208922880545694e-4,0.918
2,oracle_ate,10000,5,1.31,1.31,0.3952489818963304,0.01395216956536295,1.2865684991749793e-6,3.507008653905066e-9,NA
2,oracle_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,1.7814622096167e-6,3.144179509993772e-8,NA
2,oracle_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,0,0,NA
2,gComp_ate,10000,5,1.31,1.31,0.3952489818963304,0.01395216956536295,-0.0016475252281319588,5.593392205483518e-5,0.934
2,gComp_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-1.401747313850242e-4,9.019462688761259e-5,0.941
2,gComp_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,7.209231274937994e-4,1.1222579984842857e-4,0.941
2,causal_forest_ate,10000,5,1.31,1.31,0.3952489818963304,0.01395216956536295,0.005520283959030061,8.784004916234374e-5,0.825
2,causal_forest_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-4.4451277519594356e-4,6.470138690536064e-5,0.929
2,causal_forest_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,0.011319397864681668,3.198466577549249e-4,0.873
2,causal_forest_SL_ate,10000,5,1.31,1.31,0.3952489818963304,0.01395216956536295,-0.013748644810077242,1.9077743554323583e-4,0.611
2,causal_forest_SL_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-0.013611163575875124,2.2043865643435774e-4,0.569
2,causal_forest_SL_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,-0.017295664258213845,3.8062752952350336e-4,0.841
2,DRLearner_ate,10000,5,1.31,1.31,0.3952489818963304,0.01395216956536295,-0.0015242071134562683,5.729596624766685e-5,0.937
2,DRLearner_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-0.005221029302101797,8.976370367863892e-5,0.883
2,DRLearner_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,7.992392653324052e-4,1.9189353762272043e-4,0.948
3,oracle_ate,10000,5,1.31,1.61,0.3952489818963304,0.00247738981045235,7.780491371029595e-7,7.022016037309128e-9,NA
3,oracle_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,1.7780715341132388e-6,3.328205865824842e-8,NA
3,oracle_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-1.8703920314206214e-6,2.1794641733924067e-8,NA
3,gComp_ate,10000,5,1.31,1.61,0.3952489818963304,0.00247738981045235,-0.0025447990316427283,5.848270469129093e-5,0.926
3,gComp_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-2.742217176184959e-4,9.281573581727973e-5,0.94
3,gComp_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,8.303653715628898e-4,1.0347219634428664e-4,0.946
3,causal_forest_ate,10000,5,1.31,1.61,0.3952489818963304,0.00247738981045235,0.00466152658872759,7.824110601335127e-5,0.854
3,causal_forest_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-5.01087341254487e-4,6.740952819916056e-5,0.935
3,causal_forest_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,0.0043981618723266365,2.0159802776191388e-4,0.939
3,causal_forest_SL_ate,10000,5,1.31,1.61,0.3952489818963304,0.00247738981045235,-0.00262846677211766,8.84488545538645e-6,1
3,causal_forest_SL_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-0.0054996491532926075,6.620612068844464e-5,0.944
3,causal_forest_SL_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-0.0064034219074597405,1.2062513811536804e-4,0.988
3,DRLearner_ate,10000,5,1.31,1.61,0.3952489818963304,0.00247738981045235,-0.0024479705072263528,5.9983035263513455e-5,0.928
3,DRLearner_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-0.005367768530402201,9.311426284564312e-5,0.88
3,DRLearner_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-0.006148065843570352,2.1860900622587228e-4,0.92
4,oracle_ate,10000,5,1,0.83,0.3952489818963304,0.01030718553914946,4.3353175071533975e-7,1.0694343199056673e-8,NA
4,oracle_cate_m0,10000,5,1,0.83,0.3952489818963304,0,0,0,NA
4,oracle_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,2.0715042891349436e-6,1.7393938524297797e-8,NA
4,gComp_ate,10000,5,1,0.83,0.3952489818963304,0.01030718553914946,0.0021748243412105417,5.632544137579857e-5,0.928
4,gComp_cate_m0,10000,5,1,0.83,0.3952489818963304,0,1.1257917006960603e-4,8.365535129538353e-5,0.939
4,gComp_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,3.42569318644071e-4,1.1680815196076373e-4,0.943
4,causal_forest_ate,10000,5,1,0.83,0.3952489818963304,0.01030718553914946,0.009137778724839656,1.3940779436843873e-4,0.688
