group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,2000,10,1.291,1.06,0.40632507859388217,0.02405163108718445,4.126538585869609e-6,1.5112904537711776e-7,NA
1,oracle_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-3.6009074703849573e-6,1.9804440098470578e-7,NA
1,oracle_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,5.5737248207139365e-6,1.247707862213299e-7,NA
1,gComp_ate,2000,10,1.291,1.06,0.40632507859388217,0.02405163108718445,-3.624852251811527e-4,2.657748373147186e-4,0.946
1,gComp_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,1.4636416516608706e-4,4.972307088485008e-4,0.953
1,gComp_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,-5.396620547760044e-5,5.664813487947348e-4,0.952
1,causal_forest_ate,2000,10,1.291,1.06,0.40632507859388217,0.02405163108718445,0.03986828207217813,0.001905315167374284,0.326
1,causal_forest_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,0.01950715459565608,6.905233826713405e-4,0.785
1,causal_forest_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,0.06788406513104622,0.00569895234443495,0.429
1,causal_forest_SL_ate,2000,10,1.291,1.06,0.40632507859388217,0.02405163108718445,-0.023468212336130962,5.760490994940111e-4,0.894
1,causal_forest_SL_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-0.021311755236916585,6.417189703195108e-4,0.796
1,causal_forest_SL_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,-0.028377545480546582,0.0012668694841193719,0.95
1,DRLearner_ate,2000,10,1.291,1.06,0.40632507859388217,0.02405163108718445,2.558864284320859e-4,2.901206299237978e-4,0.952
1,DRLearner_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-0.006742618189122116,3.322338125979985e-4,0.921
1,DRLearner_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,0.008731904729646977,0.0011907168554924586,0.944
2,oracle_ate,2000,10,1.291,1.291,0.40632507859388217,0.01176969450866896,6.236243330942179e-6,2.1083481687439908e-8,NA
2,oracle_cate_m0,2000,10,1.291,1.291,0.40632507859388217,0.02505155853755408,-1.9745572313581464e-6,2.0435413483392163e-7,NA
