group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,2000,15,1.29,1.05,0.4143139166271799,0.02378881765243086,-0.0012538251946414487,2.6748807404349976e-4,0.95
1,gComp_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.0014272918707735882,6.029442616684813e-4,0.942
1,gComp_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,-7.586434118077683e-4,5.098201905969939e-4,0.955
1,causal_forest_ate,2000,15,1.29,1.05,0.4143139166271799,0.02378881765243086,0.07903315019584059,0.00656816499402874,0.007
1,causal_forest_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,0.04353221384429873,0.0022680974730404633,0.293
1,causal_forest_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,0.12662218275397014,0.017086780122515872,0.023
1,causal_forest_SL_ate,2000,15,1.29,1.05,0.4143139166271799,0.02378881765243086,-0.02368539353718414,5.97346738139041e-4,0.882
1,causal_forest_SL_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.022518464192200542,7.171514815765086e-4,0.748
1,causal_forest_SL_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,-0.027910027235936014,0.001321194005584637,0.944
1,DRLearner_ate,2000,15,1.29,1.05,0.4143139166271799,0.02378881765243086,-7.190154416838224e-4,2.923754928845052e-4,0.953
1,DRLearner_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.009035113620771104,3.8830649285654593e-4,0.888
1,DRLearner_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,0.008454323600930357,0.0012218496230112818,0.957
2,gComp_ate,2000,15,1.29,1.29,0.4143139166271799,0.010653396209143799,-0.0020997810667689374,2.7342361694368143e-4,0.956
2,gComp_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,-0.0017944332650599076,6.360981524417399e-4,0.937
2,gComp_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,-3.037992694222268e-4,4.8075021566440794e-4,0.963
2,causal_forest_ate,2000,15,1.29,1.29,0.4143139166271799,0.010653396209143799,0.08012978230478901,0.006751265132903007,0.009
2,causal_forest_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,0.04529802431471493,0.0024369149059179263,0.295
2,causal_forest_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,0.11971229847089042,0.015350842278808766,0.03
2,causal_forest_SL_ate,2000,15,1.29,1.29,0.4143139166271799,0.010653396209143799,-0.011291100024241102,1.633671428818318e-4,0.993
2,causal_forest_SL_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,-0.014953970880604907,4.3516159870820236e-4,0.876
2,causal_forest_SL_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,-0.01575868286412071,7.769912993344872e-4,0.989
2,DRLearner_ate,2000,15,1.29,1.29,0.4143139166271799,0.010653396209143799,-0.0014436148396113704,3.0096229967673275e-4,0.954
2,DRLearner_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,-0.008983957793978117,4.0677465601159107e-4,0.886
2,DRLearner_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,-4.3036223047916315e-4,0.0011000620897790889,0.957
3,gComp_ate,2000,15,1.29,1.6,0.4143139166271799,-0.0028777901880313985,-0.0022159247424181614,2.7549136585359237e-4,0.937
3,gComp_cate_m0,2000,15,1.29,1.6,0.4143139166271799,0.02527122511478145,-0.0016705891982936167,6.389596790210327e-4,0.928
3,gComp_cate_m1,2000,15,1.29,1.6,0.4143139166271799,-0.02471977247675763,5.054547014320702e-4,4.633464299303045e-4,0.959
3,causal_forest_ate,2000,15,1.29,1.6,0.4143139166271799,-0.0028777901880313985,0.08212446874687362,0.007084389487091648,0.01
3,causal_forest_cate_m0,2000,15,1.29,1.6,0.4143139166271799,0.02527122511478145,0.04753455085573949,0.0026514951236676462,0.256
3,causal_forest_cate_m1,2000,15,1.29,1.6,0.4143139166271799,-0.02471977247675763,0.113067616373256,0.01379887525351516,0.066
3,causal_forest_SL_ate,2000,15,1.29,1.6,0.4143139166271799,-0.0028777901880313985,0.0014978633468349005,3.628079626910343e-5,0.999
3,causal_forest_SL_cate_m0,2000,15,1.29,1.6,0.4143139166271799,0.02527122511478145,-0.006710670012969174,2.561029029719181e-4,0.959
3,causal_forest_SL_cate_m1,2000,15,1.29,1.6,0.4143139166271799,-0.02471977247675763,-0.004849629356778698,5.353005245139957e-4,0.991
3,DRLearner_ate,2000,15,1.29,1.6,0.4143139166271799,-0.0028777901880313985,-0.001503684739847857,3.0123350296796814e-4,0.939
3,DRLearner_cate_m0,2000,15,1.29,1.6,0.4143139166271799,0.02527122511478145,-0.008575667135330112,4.0662975936891127e-4,0.889
3,DRLearner_cate_m1,2000,15,1.29,1.6,0.4143139166271799,-0.02471977247675763,-0.009443921594834433,0.0011478587617676475,0.939
4,gComp_ate,2000,15,1,0.815,0.4143139166271799,0.01297604150731589,4.3694704690600954e-4,2.6402469249392854e-4,0.951
4,gComp_cate_m0,2000,15,1,0.815,0.4143139166271799,0,-0.001383702906853922,6.006212773162513e-4,0.94
4,gComp_cate_m1,2000,15,1,0.815,0.4143139166271799,0.025350792327718284,-8.07658135887643e-4,5.163796118061889e-4,0.963
4,causal_forest_ate,2000,15,1,0.815,0.4143139166271799,0.01297604150731589,0.07830310824288425,0.006462966306428789,0.01
4,causal_forest_cate_m0,2000,15,1,0.815,0.4143139166271799,0,0.04841972922320186,0.002710021327727002,0.184
4,causal_forest_cate_m1,2000,15,1,0.815,0.4143139166271799,0.025350792327718284,0.1264375667576419,0.017065769416078545,0.022
4,causal_forest_SL_ate,2000,15,1,0.815,0.4143139166271799,0.01297604150731589,-0.013368628888364582,2.1622262612944968e-4,0.986
4,causal_forest_SL_cate_m0,2000,15,1,0.815,0.4143139166271799,0,-0.008501675340340548,2.7246400532721327e-4,0.934
4,causal_forest_SL_cate_m1,2000,15,1,0.815,0.4143139166271799,0.025350792327718284,-0.014322532653571066,7.192016219865418e-4,0.991
4,DRLearner_ate,2000,15,1,0.815,0.4143139166271799,0.01297604150731589,8.39685495784071e-4,2.951639032757164e-4,0.956
4,DRLearner_cate_m0,2000,15,1,0.815,0.4143139166271799,0,-4.473824405725432e-4,2.894204571360805e-4,0.938
4,DRLearner_cate_m1,2000,15,1,0.815,0.4143139166271799,0.025350792327718284,0.008563985080910004,0.0012195327792322156,0.952
5,gComp_ate,2000,15,1,1,0.4143139166271799,0,-6.783729682844025e-4,2.627622235881904e-4,0.953
5,gComp_cate_m0,2000,15,1,1,0.4143139166271799,0,-0.0013138787366411494,5.977887981193216e-4,0.937
5,gComp_cate_m1,2000,15,1,1,0.4143139166271799,0,-3.8255114917937487e-4,4.81634596371417e-4,0.961
5,causal_forest_ate,2000,15,1,1,0.4143139166271799,0,0.07906801995598843,0.00658470517932284,0.007
5,causal_forest_cate_m0,2000,15,1,1,0.4143139166271799,0,0.050470660932090204,0.0028989287996436805,0.164
5,causal_forest_cate_m1,2000,15,1,1,0.4143139166271799,0,0.11945646923471252,0.015319977710126623,0.038
5,causal_forest_SL_ate,2000,15,1,1,0.4143139166271799,0,-9.144696663932673e-4,3.6427297149261545e-5,1
