group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,10000,10,1.291,1.06,0.4063193069386903,0.02405163108718445,1.300651651672032e-6,3.009393158121443e-8,NA
1,oracle_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.0245702915287778,-6.8625609134956576e-6,3.9492376658904535e-8,NA
1,oracle_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.0250739280151737,3.475980283989575e-6,2.501394717172621e-8,NA
1,gComp_ate,10000,10,1.291,1.06,0.4063193069386903,0.02405163108718445,-7.717642113404579e-4,5.3901571819237066e-5,0.949
1,gComp_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.0245702915287778,-7.655617384210861e-4,1.0410889554517929e-4,0.953
1,gComp_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.0250739280151737,-1.0958601081288805e-4,1.0782185053269422e-4,0.951
1,causal_forest_ate,10000,10,1.291,1.06,0.4063193069386903,0.02405163108718445,0.033355834428202134,0.0012526785386945535,0.024
1,causal_forest_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.0245702915287778,0.01366331813148738,2.885752979422655e-4,0.594
1,causal_forest_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.0250739280151737,0.06035782893842191,0.004034485335206556,0.03
1,causal_forest_SL_ate,10000,10,1.291,1.06,0.4063193069386903,0.02405163108718445,-0.024007409091333354,5.811513662752754e-4,0.043
1,causal_forest_SL_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.0245702915287778,-0.022321740261924426,5.368700386550241e-4,0.131
1,causal_forest_SL_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.0250739280151737,-0.028261677717683557,8.957584965816879e-4,0.523
1,DRLearner_ate,10000,10,1.291,1.06,0.4063193069386903,0.02405163108718445,-4.892310875380532e-4,5.732098942826165e-5,0.955
1,DRLearner_cate_m0,10000,10,1.291,1.06,0.4063193069386903,0.0245702915287778,-0.007893083179680158,1.2125832736876634e-4,0.819
1,DRLearner_cate_m1,10000,10,1.291,1.06,0.4063193069386903,0.0250739280151737,0.008547423894901042,2.9622576983887234e-4,0.91
2,oracle_ate,10000,10,1.291,1.291,0.4063193069386903,0.01176969450866896,6.248489470164315e-6,4.181639261397302e-9,NA
2,oracle_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.02505155853755408,-5.5672044269841765e-6,4.064273126385755e-8,NA
2,oracle_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7127275866410685e-17,2.1925771067446465e-20,6.423813715495078e-38,NA
2,gComp_ate,10000,10,1.291,1.291,0.4063193069386903,0.01176969450866896,-0.0016706298177288352,5.5441645563553975e-5,0.94
2,gComp_cate_m0,10000,10,1.291,1.291,0.4063193069386903,0.02505155853755408,-0.0010971243336390867,1.0747309515374403e-4,0.945
2,gComp_cate_m1,10000,10,1.291,1.291,0.4063193069386903,-1.7127275866410685e-17,4.8507661257607084e-4,1.0396599045126247e-4,0.953
2,causal_forest_ate,10000,10,1.291,1.291,0.4063193069386903,0.01176969450866896,0.03341957376977034,0.0012600021750553846,0.031
