group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,5000,5,1.31,1.08,0.39523200721383384,0.024833938170596235,-0.0012869357316707129,9.829461771156326e-5,0.944
1,gComp_cate_m0,5000,5,1.31,1.08,0.39523200721383384,0.02457179098866753,-9.369865839603261e-4,1.5695325470757294e-4,0.949
1,gComp_cate_m1,5000,5,1.31,1.08,0.39523200721383384,0.025235414975326602,-3.012780446715508e-4,2.320034165967935e-4,0.952
1,causal_forest_ate,5000,5,1.31,1.08,0.39523200721383384,0.024833938170596235,-0.02443656300985025,6.0116466650238e-4,0.265
1,causal_forest_cate_m0,5000,5,1.31,1.08,0.39523200721383384,0.02457179098866753,-0.021240898668647007,5.205252720360509e-4,0.482
1,causal_forest_cate_m1,5000,5,1.31,1.08,0.39523200721383384,0.025235414975326602,-0.02932871851966796,0.0010255947512459338,0.76
1,DRLearner_ate,5000,5,1.31,1.08,0.39523200721383384,0.024833938170596235,-0.001133202818179637,1.0508529152907051e-4,0.942
1,DRLearner_cate_m0,5000,5,1.31,1.08,0.39523200721383384,0.02457179098866753,-0.005697078492728645,1.4093715289520276e-4,0.917
1,DRLearner_cate_m1,5000,5,1.31,1.08,0.39523200721383384,0.025235414975326602,0.005850747091694804,4.4392525035410275e-4,0.94
2,gComp_ate,5000,5,1.31,1.31,0.39523200721383384,0.015262405261851202,-0.0035576865629054163,1.0880827421471019e-4,0.94
2,gComp_cate_m0,5000,5,1.31,1.31,0.39523200721383384,0.025237880946465407,-0.001038761439278306,1.6169525736736687e-4,0.951
2,gComp_cate_m1,5000,5,1.31,1.31,0.39523200721383384,0,4.0932254696257234e-4,2.207866386829153e-4,0.951
2,causal_forest_ate,5000,5,1.31,1.31,0.39523200721383384,0.015262405261851202,-0.015062447886461354,2.312115504822972e-4,0.871
2,causal_forest_cate_m0,5000,5,1.31,1.31,0.39523200721383384,0.025237880946465407,-0.013853286717600883,0.00026076930084942713,0.808
2,causal_forest_cate_m1,5000,5,1.31,1.31,0.39523200721383384,0,-0.016910285506171924,4.4761533705492396e-4,0.936
2,DRLearner_ate,5000,5,1.31,1.31,0.39523200721383384,0.015262405261851202,-0.003379805115529731,1.1445246641291526e-4,0.938
2,DRLearner_cate_m0,5000,5,1.31,1.31,0.39523200721383384,0.025237880946465407,-0.005833176558365059,1.455888937499264e-4,0.922
2,DRLearner_cate_m1,5000,5,1.31,1.31,0.39523200721383384,0,3.83097896871398e-4,3.887971006968138e-4,0.944
3,gComp_ate,5000,5,1.31,1.61,0.39523200721383384,0.005692272660566175,-0.006106547331248114,1.342724987016126e-4,0.899
3,gComp_cate_m0,5000,5,1.31,1.61,0.39523200721383384,0.025923007542423788,-0.0012452864654363682,1.6748218207723954e-4,0.952
3,gComp_cate_m1,5000,5,1.31,1.61,0.39523200721383384,-0.02526089125856156,0.0011202238884077706,2.1168467573523723e-4,0.957
3,causal_forest_ate,5000,5,1.31,1.61,0.39523200721383384,0.005692272660566175,-0.005890879717182459,3.886054607008023e-5,0.999
3,causal_forest_cate_m0,5000,5,1.31,1.61,0.39523200721383384,0.025923007542423788,-0.006043553512037278,1.0518399682341843e-4,0.96
3,causal_forest_cate_m1,5000,5,1.31,1.61,0.39523200721383384,-0.02526089125856156,-0.005650837409902612,1.8832870685596794e-4,0.994
3,DRLearner_ate,5000,5,1.31,1.61,0.39523200721383384,0.005692272660566175,-0.005926750940849084,1.3822547296370811e-4,0.904
3,DRLearner_cate_m0,5000,5,1.31,1.61,0.39523200721383384,0.025923007542423788,-0.0060542234808451355,1.5002873059762753e-4,0.918
3,DRLearner_cate_m1,5000,5,1.31,1.61,0.39523200721383384,-0.02526089125856156,-0.005715052112836541,4.088529748519617e-4,0.921
4,gComp_ate,5000,5,1,0.83,0.39523200721383384,0.009893949404506134,0.0020175512988469114,9.793771036122981e-5,0.946
4,gComp_cate_m0,5000,5,1,0.83,0.39523200721383384,0,-5.829888615751094e-4,1.47622730427107e-4,0.948
4,gComp_cate_m1,5000,5,1,0.83,0.39523200721383384,0.025032045502771254,-1.7571876606382552e-4,2.4324767798493695e-4,0.957
4,causal_forest_ate,5000,5,1,0.83,0.39523200721383384,0.009893949404506134,-0.009821600332803047,1.005981734676011e-4,0.981
4,causal_forest_cate_m0,5000,5,1,0.83,0.39523200721383384,0,-0.007986506498690907,1.315189571306533e-4,0.931
4,causal_forest_cate_m1,5000,5,1,0.83,0.39523200721383384,0.025032045502771254,-0.012629819935299533,3.2262708686287326e-4,0.977
4,DRLearner_ate,5000,5,1,0.83,0.39523200721383384,0.009893949404506134,0.0021942821050823635,1.0448428259776076e-4,0.945
4,DRLearner_cate_m0,5000,5,1,0.83,0.39523200721383384,0,-3.2484167873006415e-4,1.0098838512906875e-4,0.952
4,DRLearner_cate_m1,5000,5,1,0.83,0.39523200721383384,0.025032045502771254,0.006051185993227574,4.501165380934381e-4,0.929
5,gComp_ate,5000,5,1,1,0.39523200721383384,0,-2.1031530323429784e-4,9.35302836016623e-5,0.958
5,gComp_cate_m0,5000,5,1,1,0.39523200721383384,0,-7.150826729688704e-4,1.54755103487344e-4,0.947
5,gComp_cate_m1,5000,5,1,1,0.39523200721383384,0,2.589806126576038e-4,2.3004815079967736e-4,0.951
5,causal_forest_ate,5000,5,1,1,0.39523200721383384,0,-4.469154221038661e-4,4.582413659068209e-6,1
5,causal_forest_cate_m0,5000,5,1,1,0.39523200721383384,0,-6.677871733696573e-4,6.978570583074133e-5,0.981
5,causal_forest_cate_m1,5000,5,1,1,0.39523200721383384,0,-1.0088595278383739e-4,1.6029741650106327e-4,0.995
5,DRLearner_ate,5000,5,1,1,0.39523200721383384,0,-3.382205271130251e-5,9.997888396790491e-5,0.952
5,DRLearner_cate_m0,5000,5,1,1,0.39523200721383384,0,-3.816977256138782e-4,1.0514683213292283e-4,0.951
5,DRLearner_cate_m1,5000,5,1,1,0.39523200721383384,0,5.132933211981964e-4,4.018049209924531e-4,0.945
6,gComp_ate,5000,5,1,1.22,0.39523200721383384,-0.009926316318987547,-0.002551898847904079,9.871843142250156e-5,0.949
6,gComp_cate_m0,5000,5,1,1.22,0.39523200721383384,0,-8.218431941289993e-4,1.562160861792874e-4,0.948
6,gComp_cate_m1,5000,5,1,1.22,0.39523200721383384,-0.025113829829139834,9.012123397371812e-4,2.182296781606326e-4,0.955
6,causal_forest_ate,5000,5,1,1.22,0.39523200721383384,-0.009926316318987547,0.009380124616589856,9.205767971035128e-5,0.992
6,causal_forest_cate_m0,5000,5,1,1.22,0.39523200721383384,0,0.007525462151366354,1.2474436307207675e-4,0.944
6,causal_forest_cate_m1,5000,5,1,1.22,0.39523200721383384,-0.025113829829139834,0.012228065035140654,2.9937788959311356e-4,0.981
6,DRLearner_ate,5000,5,1,1.22,0.39523200721383384,-0.009926316318987547,-0.002410724582458259,1.0473102838970892e-4,0.943
6,DRLearner_cate_m0,5000,5,1,1.22,0.39523200721383384,0,-4.048344878574397e-4,1.0568322489009558e-4,0.954
6,DRLearner_cate_m1,5000,5,1,1.22,0.39523200721383384,-0.025113829829139834,-0.0054585787140260114,4.1274350422445383e-4,0.928
7,gComp_ate,5000,5,0.745,0.62,0.39523200721383384,-0.004652014980481476,0.005253486807698917,1.2299439450315773e-4,0.92
7,gComp_cate_m0,5000,5,0.745,0.62,0.39523200721383384,-0.024302276847375417,-5.400450548004569e-4,1.3916139285511119e-4,0.953
7,gComp_cate_m1,5000,5,0.745,0.62,0.39523200721383384,0.025413126511748145,-2.3293943802019866e-4,2.6134633437632207e-4,0.94
7,causal_forest_ate,5000,5,0.745,0.62,0.39523200721383384,-0.004652014980481476,0.0039560036087412445,2.0511602161807116e-5,1
7,causal_forest_cate_m0,5000,5,0.745,0.62,0.39523200721383384,-0.024302276847375417,0.004047326855538798,8.230825841773758e-5,0.971
