group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,5000,10,1.291,1.06,0.4064070440405723,0.02477498136600463,4.978032235372774e-6,6.363428217096572e-8,NA
1,oracle_cate_m0,5000,10,1.291,1.06,0.4064070440405723,0.0245702915287778,1.6643756352014428e-6,7.648727374208117e-8,NA
1,oracle_cate_m1,5000,10,1.291,1.06,0.4064070440405723,0.0250739280151737,1.0396755174935594e-5,4.9373483932125414e-8,NA
1,gComp_ate,5000,10,1.291,1.06,0.4064070440405723,0.02477498136600463,-9.232617401960776e-4,1.0498379465207066e-4,0.958
1,gComp_cate_m0,5000,10,1.291,1.06,0.4064070440405723,0.0245702915287778,-1.8833737442360883e-4,1.9875412812495635e-4,0.959
1,gComp_cate_m1,5000,10,1.291,1.06,0.4064070440405723,0.0250739280151737,5.668024967806629e-4,2.216776430789887e-4,0.95
1,causal_forest_ate,5000,10,1.291,1.06,0.4064070440405723,0.02477498136600463,-0.024567052302799337,6.127990044124336e-4,0.364
1,causal_forest_cate_m0,5000,10,1.291,1.06,0.4064070440405723,0.0245702915287778,-0.02201405750983139,5.603494304205497e-4,0.451
1,causal_forest_cate_m1,5000,10,1.291,1.06,0.4064070440405723,0.0250739280151737,-0.028283100786215237,9.781349643876835e-4,0.831
1,DRLearner_ate,5000,10,1.291,1.06,0.4064070440405723,0.02477498136600463,-5.918692945843557e-4,1.1045288845744511e-4,0.955
1,DRLearner_cate_m0,5000,10,1.291,1.06,0.4064070440405723,0.0245702915287778,-0.007338802415158222,1.6634872362761166e-4,0.894
1,DRLearner_cate_m1,5000,10,1.291,1.06,0.4064070440405723,0.0250739280151737,0.0092848443942294,5.127596828838896e-4,0.948
2,oracle_ate,5000,10,1.291,1.291,0.4064070440405723,0.01487000978594207,1.5107554668132226e-6,7.770990188841802e-9,NA
2,oracle_cate_m0,5000,10,1.291,1.291,0.4064070440405723,0.02505155853755408,3.3851805646868578e-6,7.880277015864981e-8,NA
2,oracle_cate_m1,5000,10,1.291,1.291,0.4064070440405723,-1.7127275866410685e-17,2.86715766959503e-20,1.2841181341061662e-37,NA
2,gComp_ate,5000,10,1.291,1.291,0.4064070440405723,0.01487000978594207,-0.004458922665804676,1.2103125960398113e-4,0.926
2,gComp_cate_m0,5000,10,1.291,1.291,0.4064070440405723,0.02505155853755408,-4.4079169159843233e-4,1.994556389580172e-4,0.957
2,gComp_cate_m1,5000,10,1.291,1.291,0.4064070440405723,-1.7127275866410685e-17,6.062985181797324e-4,2.1072680565509863e-4,0.953
2,causal_forest_ate,5000,10,1.291,1.291,0.4064070440405723,0.01487000978594207,-0.015061214161210219,2.362523660503294e-4,0.872
2,causal_forest_cate_m0,5000,10,1.291,1.291,0.4064070440405723,0.02505155853755408,-0.014263139447309647,2.8100639991461725e-4,0.764
2,causal_forest_cate_m1,5000,10,1.291,1.291,0.4064070440405723,-1.7127275866410685e-17,-0.016220378682782918,4.4445606652937416e-4,0.961
2,DRLearner_ate,5000,10,1.291,1.291,0.4064070440405723,0.01487000978594207,-0.00413124676046298,1.2526051283457518e-4,0.935
2,DRLearner_cate_m0,5000,10,1.291,1.291,0.4064070440405723,0.02505155853755408,-0.007369701143123157,1.6750323004139842e-4,0.899
2,DRLearner_cate_m1,5000,10,1.291,1.291,0.4064070440405723,-1.7127275866410685e-17,6.139868732472869e-4,4.262379665410896e-4,0.955
3,oracle_ate,5000,10,1.291,1.59,0.4064070440405723,0.00498455411816472,-2.147037100588417e-6,1.0751104654899117e-8,NA
3,oracle_cate_m0,5000,10,1.291,1.59,0.4064070440405723,0.02550544546019108,5.251222184479557e-6,8.084983946969988e-8,NA
3,oracle_cate_m1,5000,10,1.291,1.59,0.4064070440405723,-0.02498592115200217,-1.0976237001274078e-5,5.61727233779033e-8,NA
3,gComp_ate,5000,10,1.291,1.59,0.4064070440405723,0.00498455411816472,-0.008305971220288203,1.7130655136812927e-4,0.869
3,gComp_cate_m0,5000,10,1.291,1.59,0.4064070440405723,0.02550544546019108,-8.819753302994936e-4,1.992440908214094e-4,0.958
3,gComp_cate_m1,5000,10,1.291,1.59,0.4064070440405723,-0.02498592115200217,6.405634410050219e-4,2.0666330194232146e-4,0.946
