group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,10000,5,1.31,1.08,0.3952489818963304,0.0248331082646694,1.8213508601306467e-6,2.480443742138141e-8,NA
1,oracle_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,1.7709043169173884e-6,2.959942307220296e-8,NA
1,oracle_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,2.0318022379063224e-6,1.8377179418967487e-8,NA
1,gComp_ate,10000,5,1.31,1.08,0.3952489818963304,0.0248331082646694,-3.1292619500082147e-4,5.3873744029597506e-5,0.937
1,gComp_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,3.137328721395422e-5,8.912484889875628e-5,0.939
1,gComp_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,7.38619950445845e-4,1.1462320464131084e-4,0.94
1,causal_forest_ate,10000,5,1.31,1.08,0.3952489818963304,0.0248331082646694,-0.024560879613647158,6.048663322385102e-4,0.012
1,causal_forest_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,-0.021278899449757176,4.8704613330058393e-4,0.15
1,causal_forest_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,-0.029589806600019506,9.551297963638719e-4,0.399
1,DRLearner_ate,10000,5,1.31,1.08,0.3952489818963304,0.0248331082646694,-1.7824853567871695e-4,5.540922582597388e-5,0.938
1,DRLearner_cate_m0,10000,5,1.31,1.08,0.3952489818963304,0.02457103749644908,-0.005020125180334344,8.730093205177114e-5,0.876
1,DRLearner_cate_m1,10000,5,1.31,1.08,0.3952489818963304,0.0252341345228668,0.0072305079511947685,2.4208922880545694e-4,0.918
2,oracle_ate,10000,5,1.31,1.31,0.3952489818963304,0.01526281202406302,7.773656008061223e-8,3.7431310240537145e-9,NA
2,oracle_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,1.7814622096167e-6,3.144179509993772e-8,NA
2,oracle_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,0,0,NA
2,gComp_ate,10000,5,1.31,1.31,0.3952489818963304,0.01526281202406302,-0.0029581676868320286,6.197033874092107e-5,0.917
2,gComp_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-1.401747313850242e-4,9.019462688761259e-5,0.941
2,gComp_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,7.209231274937994e-4,1.1222579984842857e-4,0.941
2,causal_forest_ate,10000,5,1.31,1.31,0.3952489818963304,0.01526281202406302,-0.015059287268777312,2.285343344731304e-4,0.477
2,causal_forest_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-0.013611163575875124,2.2043865643435774e-4,0.569
2,causal_forest_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,-0.017295664258213845,3.8062752952350336e-4,0.841
2,DRLearner_ate,10000,5,1.31,1.31,0.3952489818963304,0.01526281202406302,-0.0028348495721563383,6.300913101971115e-5,0.917
2,DRLearner_cate_m0,10000,5,1.31,1.31,0.3952489818963304,0.02523706381078659,-0.005221029302101797,8.976370367863892e-5,0.883
2,DRLearner_cate_m1,10000,5,1.31,1.31,0.3952489818963304,0,7.992392653324052e-4,1.9189353762272043e-4,0.948
3,oracle_ate,10000,5,1.31,1.61,0.3952489818963304,0.00569391313526248,-1.6329489236019158e-6,2.297627518541127e-9,NA
3,oracle_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,1.7780715341132388e-6,3.328205865824842e-8,NA
3,oracle_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-1.8703920314206214e-6,2.1794641733924067e-8,NA
3,gComp_ate,10000,5,1.31,1.61,0.3952489818963304,0.00569391313526248,-0.005761322356452858,8.519953787480467e-5,0.86
3,gComp_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-2.742217176184959e-4,9.281573581727973e-5,0.94
3,gComp_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,8.303653715628898e-4,1.0347219634428664e-4,0.946
3,causal_forest_ate,10000,5,1.31,1.61,0.3952489818963304,0.00569391313526248,-0.00584499009692779,3.609995711644375e-5,0.995
3,causal_forest_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-0.0054996491532926075,6.620612068844464e-5,0.944
3,causal_forest_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-0.0064034219074597405,1.2062513811536804e-4,0.988
3,DRLearner_ate,10000,5,1.31,1.61,0.3952489818963304,0.00569391313526248,-0.005664493832036483,8.607696603244277e-5,0.86
3,DRLearner_cate_m0,10000,5,1.31,1.61,0.3952489818963304,0.02592213099607912,-0.005367768530402201,9.311426284564312e-5,0.88
3,DRLearner_cate_m1,10000,5,1.31,1.61,0.3952489818963304,-0.02525973565896512,-0.006148065843570352,2.1860900622587228e-4,0.92
4,oracle_ate,10000,5,1,0.83,0.3952489818963304,0.00989269819489023,1.7253655398460354e-6,9.682897489282117e-9,NA
4,oracle_cate_m0,10000,5,1,0.83,0.3952489818963304,0,0,0,NA
4,oracle_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,2.0715042891349436e-6,1.7393938524297797e-8,NA
4,gComp_ate,10000,5,1,0.83,0.3952489818963304,0.00989269819489023,0.0025893116854697703,5.830011546518701e-5,0.919
4,gComp_cate_m0,10000,5,1,0.83,0.3952489818963304,0,1.1257917006960603e-4,8.365535129538353e-5,0.939
4,gComp_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,3.42569318644071e-4,1.1680815196076373e-4,0.943
4,causal_forest_ate,10000,5,1,0.83,0.3952489818963304,0.00989269819489023,-0.009830654894584916,9.829466884291166e-5,0.918
4,causal_forest_cate_m0,10000,5,1,0.83,0.3952489818963304,0,-0.0079130562522388,9.559616270123704e-5,0.866
4,causal_forest_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,-0.012760066977230786,2.4053475813747867e-4,0.949
4,DRLearner_ate,10000,5,1,0.83,0.3952489818963304,0.00989269819489023,0.0026967161137513352,6.051321884392258e-5,0.927
4,DRLearner_cate_m0,10000,5,1,0.83,0.3952489818963304,0,6.550755346105259e-5,5.69717139261769e-5,0.945
4,DRLearner_cate_m1,10000,5,1,0.83,0.3952489818963304,0.02503071517982098,0.006729873623759063,2.364222123771263e-4,0.923
5,oracle_ate,10000,5,1,1,0.3952489818963304,0,0,0,NA
5,oracle_cate_m0,10000,5,1,1,0.3952489818963304,0,0,0,NA
5,oracle_cate_m1,10000,5,1,1,0.3952489818963304,0,0,0,NA
5,gComp_ate,10000,5,1,1,0.3952489818963304,0,2.071884127781711e-4,5.2076108127504455e-5,0.938
5,gComp_cate_m0,10000,5,1,1,0.3952489818963304,0,-1.139362766018755e-4,8.526461642473648e-5,0.932
5,gComp_cate_m1,10000,5,1,1,0.3952489818963304,0,5.173312325109163e-4,1.1437388332506489e-4,0.944
5,causal_forest_ate,10000,5,1,1,0.3952489818963304,0,-3.870368002409071e-4,2.1750523415511156e-6,1
5,causal_forest_cate_m0,10000,5,1,1,0.3952489818963304,0,-4.6721807211353925e-4,3.435790709326689e-5,0.987
5,causal_forest_cate_m1,10000,5,1,1,0.3952489818963304,0,-2.7023487048323085e-4,7.602389561839329e-5,0.996
5,DRLearner_ate,10000,5,1,1,0.3952489818963304,0,3.0516802596854755e-4,5.361360879058489e-5,0.94
5,DRLearner_cate_m0,10000,5,1,1,0.3952489818963304,0,-7.053760817456316e-6,5.7225024912707194e-5,0.941
5,DRLearner_cate_m1,10000,5,1,1,0.3952489818963304,0,7.753268079611952e-4,1.9287555611853744e-4,0.946
6,oracle_ate,10000,5,1,1.22,0.3952489818963304,-0.00992507183863122,-1.6872767812193319e-6,1.0632871311821356e-8,NA
6,oracle_cate_m0,10000,5,1,1.22,0.3952489818963304,0,0,0,NA
6,oracle_cate_m1,10000,5,1,1.22,0.3952489818963304,-0.0251126276611127,-1.916077693282635e-6,2.0592754982377925e-8,NA
6,gComp_ate,10000,5,1,1.22,0.3952489818963304,-0.00992507183863122,-0.002350832596857953,5.839019157544847e-5,0.924
6,gComp_cate_m0,10000,5,1,1.22,0.3952489818963304,0,-2.0087353644140688e-4,9.116193915005185e-5,0.935
6,gComp_cate_m1,10000,5,1,1.22,0.3952489818963304,-0.0251126276611127,6.755919232695462e-4,1.1057762407139425e-4,0.949
6,causal_forest_ate,10000,5,1,1.22,0.3952489818963304,-0.00992507183863122,0.009593000664700056,9.394517369433163e-5,0.928
6,causal_forest_cate_m0,10000,5,1,1.22,0.3952489818963304,0,0.008009153584322823,9.911335856794888e-5,0.876
6,causal_forest_cate_m1,10000,5,1,1.22,0.3952489818963304,-0.0251126276611127,0.012000984404678092,2.2054458093704468e-4,0.951
6,DRLearner_ate,10000,5,1,1.22,0.3952489818963304,-0.00992507183863122,-0.002273897888438099,5.989626976860998e-5,0.92
6,DRLearner_cate_m0,10000,5,1,1.22,0.3952489818963304,0,2.0474042396038968e-5,6.0498331935719236e-5,0.933
6,DRLearner_cate_m1,10000,5,1,1.22,0.3952489818963304,-0.0251126276611127,-0.005805791989290269,2.2281022747703972e-4,0.93
7,oracle_ate,10000,5,0.745,0.62,0.3952489818963304,-0.00465385412272964,1.7160176964641027e-6,2.144653907169431e-9,NA
7,oracle_cate_m0,10000,5,0.745,0.62,0.3952489818963304,-0.02430170300420002,-1.7132764692755973e-6,3.2564861156357974e-8,NA
7,oracle_cate_m1,10000,5,0.745,0.62,0.3952489818963304,0.02541170172720814,2.1724066841817583e-6,1.7149166198283875e-8,NA
7,gComp_ate,10000,5,0.745,0.62,0.3952489818963304,-0.00465385412272964,0.0058237915571043184,8.505752002358392e-5,0.859
7,gComp_cate_m0,10000,5,0.745,0.62,0.3952489818963304,-0.02430170300420002,2.698636382875578e-4,8.230015949706537e-5,0.943
7,gComp_cate_m1,10000,5,0.745,0.62,0.3952489818963304,0.02541170172720814,2.0578338987596972e-4,1.223755870485136e-4,0.948
7,causal_forest_ate,10000,5,0.745,0.62,0.3952489818963304,-0.00465385412272964,0.0038966284089300097,1.7467092558567023e-5,0.999
7,causal_forest_cate_m0,10000,5,0.745,0.62,0.3952489818963304,-0.02430170300420002,0.0042243054992988065,5.136892871338867e-5,0.953
7,causal_forest_cate_m1,10000,5,0.745,0.62,0.3952489818963304,0.02541170172720814,0.00340973569343109,8.892172385267905e-5,0.995
7,DRLearner_ate,10000,5,0.745,0.62,0.3952489818963304,-0.00465385412272964,0.005956013459230125,8.829345356468265e-5,0.859
7,DRLearner_cate_m0,10000,5,0.745,0.62,0.3952489818963304,-0.02430170300420002,0.0054829028387272,8.408706878814336e-5,0.877
7,DRLearner_cate_m1,10000,5,0.745,0.62,0.3952489818963304,0.02541170172720814,0.006691432420388983,2.425377518311366e-4,0.932
8,oracle_ate,10000,5,0.745,0.745,0.3952489818963304,-0.01512345367257883,-4.318286642402899e-8,4.541215618717469e-9,NA
8,oracle_cate_m0,10000,5,0.745,0.745,0.3952489818963304,-0.02500663473890733,-1.7413575314123852e-6,3.484644925690276e-8,NA
8,oracle_cate_m1,10000,5,0.745,0.745,0.3952489818963304,0,0,0,NA
8,gComp_ate,10000,5,0.745,0.745,0.3952489818963304,-0.01512345367257883,0.003571347181025592,6.447472330984776e-5,0.907
8,gComp_cate_m0,10000,5,0.745,0.745,0.3952489818963304,-0.02500663473890733,1.3169728170660925e-4,8.396222000115794e-5,0.941
8,gComp_cate_m1,10000,5,0.745,0.745,0.3952489818963304,0,2.214937573926025e-4,1.1786632789365004e-4,0.94
8,causal_forest_ate,10000,5,0.745,0.745,0.3952489818963304,-0.01512345367257883,0.013853674069631726,1.9410654712807338e-4,0.584
8,causal_forest_cate_m0,10000,5,0.745,0.745,0.3952489818963304,-0.02500663473890733,0.012002503730088453,1.7803732323595377e-4,0.628
8,causal_forest_cate_m1,10000,5,0.745,0.745,0.3952489818963304,0,0.0166921290373838,3.4880412491240147e-4,0.904
8,DRLearner_ate,10000,5,0.745,0.745,0.3952489818963304,-0.01512345367257883,0.003669553071957634,6.691951331415912e-5,0.918
8,DRLearner_cate_m0,10000,5,0.745,0.745,0.3952489818963304,-0.02500663473890733,0.005628137274048979,8.601863288452485e-5,0.872
8,DRLearner_cate_m1,10000,5,0.745,0.745,0.3952489818963304,0,6.717498638924948e-4,1.9553675390615355e-4,0.939
9,oracle_ate,10000,5,0.745,0.9,0.3952489818963304,-0.02529560179615089,-1.6978233732400477e-6,2.785838622442453e-8,NA
9,oracle_cate_m0,10000,5,0.745,0.9,0.3952489818963304,-0.02571336253372172,-1.755275513778562e-6,3.7099043265144034e-8,NA
9,oracle_cate_m1,10000,5,0.745,0.9,0.3952489818963304,-0.02465633543864177,-1.948464112100593e-6,1.8888461732213255e-8,NA
9,gComp_ate,10000,5,0.745,0.9,0.3952489818963304,-0.02529560179615089,0.0012086302693115308,5.329234797804057e-5,0.932
9,gComp_cate_m0,10000,5,0.745,0.9,0.3952489818963304,-0.02571336253372172,-8.53543913110327e-6,8.637963727272413e-5,0.939
9,gComp_cate_m1,10000,5,0.745,0.9,0.3952489818963304,-0.02465633543864177,3.1963114692296855e-4,1.1489280560452726e-4,0.945
9,causal_forest_ate,10000,5,0.745,0.9,0.3952489818963304,-0.02529560179615089,0.024494360669635767,6.021351424772786e-4,0.005
9,causal_forest_cate_m0,10000,5,0.745,0.9,0.3952489818963304,-0.02571336253372172,0.020726040513143387,4.643007118603333e-4,0.11
9,causal_forest_cate_m1,10000,5,0.745,0.9,0.3952489818963304,-0.02465633543864177,0.030259078405008327,9.855524305496125e-4,0.338
9,DRLearner_ate,10000,5,0.745,0.9,0.3952489818963304,-0.02529560179615089,0.0012859669242692496,5.523077086599256e-5,0.936
9,DRLearner_cate_m0,10000,5,0.745,0.9,0.3952489818963304,-0.02571336253372172,0.005800503179798164,8.97450433051557e-5,0.867
9,DRLearner_cate_m1,10000,5,0.745,0.9,0.3952489818963304,-0.02465633543864177,-0.005634081377260057,2.2435892280263408e-4,0.928
