group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,2000,15,1.29,1.05,0.4143139166271799,0.02484179695492235,-0.00230680449713294,2.71276376779996e-4,0.945
1,gComp_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.0014272918707735882,6.029442616684813e-4,0.942
1,gComp_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,-7.586434118077683e-4,5.098201905969939e-4,0.955
1,causal_forest_ate,2000,15,1.29,1.05,0.4143139166271799,0.02484179695492235,-0.024738372839675633,6.483313427001211e-4,0.87
1,causal_forest_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.022518464192200542,7.171514815765086e-4,0.748
1,causal_forest_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,-0.027910027235936014,0.001321194005584637,0.944
1,DRLearner_ate,2000,15,1.29,1.05,0.4143139166271799,0.02484179695492235,-0.0017719947441753134,2.950154757399505e-4,0.953
1,DRLearner_cate_m0,2000,15,1.29,1.05,0.4143139166271799,0.024680676422626446,-0.009035113620771104,3.8830649285654593e-4,0.888
1,DRLearner_cate_m1,2000,15,1.29,1.05,0.4143139166271799,0.025071096257700747,0.008454323600930357,0.0012218496230112818,0.957
2,gComp_ate,2000,15,1.29,1.29,0.4143139166271799,0.014640711076351351,-0.00608709593397649,3.0609886327955443e-4,0.935
2,gComp_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,-0.0017944332650599076,6.360981524417399e-4,0.937
2,gComp_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,-3.037992694222268e-4,4.8075021566440794e-4,0.963
2,causal_forest_ate,2000,15,1.29,1.29,0.4143139166271799,0.014640711076351351,-0.015278414891448655,2.692934438944127e-4,0.972
2,causal_forest_cate_m0,2000,15,1.29,1.29,0.4143139166271799,0.02500184616801195,-0.014953970880604907,4.3516159870820236e-4,0.876
2,causal_forest_cate_m1,2000,15,1.29,1.29,0.4143139166271799,-1.4624320493235712e-17,-0.01575868286412071,7.769912993344872e-4,0.989
