group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,truth,bias_mean,MSE,coverage_prob
1,oracle_ate,2000,10,1.291,1.06,0.40632507859388217,0.02477498136600463,-5.14180082278104e-7,1.632121005893497e-7,NA
1,oracle_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-3.6009074703849573e-6,1.9804440098470578e-7,NA
1,oracle_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,5.5737248207139365e-6,1.247707862213299e-7,NA
1,gComp_ate,2000,10,1.291,1.06,0.40632507859388217,0.02477498136600463,-0.0010858355040013325,2.668224805179938e-4,0.946
1,gComp_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,1.4636416516608706e-4,4.972307088485008e-4,0.953
1,gComp_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,-5.396620547760044e-5,5.664813487947348e-4,0.952
1,causal_forest_ate,2000,10,1.291,1.06,0.40632507859388217,0.02477498136600463,-0.024191562614951142,6.105238109933834e-4,0.884
1,causal_forest_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-0.021311755236916585,6.417189703195108e-4,0.796
1,causal_forest_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,-0.028377545480546582,0.0012668694841193719,0.95
1,DRLearner_ate,2000,10,1.291,1.06,0.40632507859388217,0.02477498136600463,-4.674638503880939e-4,2.902736745109617e-4,0.95
1,DRLearner_cate_m0,2000,10,1.291,1.06,0.40632507859388217,0.0245702915287778,-0.006742618189122116,3.322338125979985e-4,0.921
1,DRLearner_cate_m1,2000,10,1.291,1.06,0.40632507859388217,0.0250739280151737,0.008731904729646977,0.0011907168554924586,0.944
2,oracle_ate,2000,10,1.291,1.291,0.40632507859388217,0.01487000978594207,-1.0357150830031542e-6,2.083513195370051e-8,NA
2,oracle_cate_m0,2000,10,1.291,1.291,0.40632507859388217,0.02505155853755408,-1.9745572313581464e-6,2.0435413483392163e-7,NA
2,oracle_cate_m1,2000,10,1.291,1.291,0.40632507859388217,-1.7127275866410685e-17,3.6645218245497824e-20,3.256245311601127e-37,NA
2,gComp_ate,2000,10,1.291,1.291,0.40632507859388217,0.01487000978594207,-0.0046564709815117835,2.862338501567243e-4,0.935
2,gComp_cate_m0,2000,10,1.291,1.291,0.40632507859388217,0.02505155853755408,-1.494642051640504e-4,5.034684562753959e-4,0.953
2,gComp_cate_m1,2000,10,1.291,1.291,0.40632507859388217,-1.7127275866410685e-17,-2.6471639574150407e-5,5.442902668491463e-4,0.95
2,causal_forest_ate,2000,10,1.291,1.291,0.40632507859388217,0.01487000978594207,-0.015029735074432336,2.504992843595602e-4,0.987
2,causal_forest_cate_m0,2000,10,1.291,1.291,0.40632507859388217,0.02505155853755408,-0.013667258197397262,3.7787505344859474e-4,0.925
2,causal_forest_cate_m1,2000,10,1.291,1.291,0.40632507859388217,-1.7127275866410685e-17,-0.017022420604878262,7.435102799329659e-4,0.988
2,DRLearner_ate,2000,10,1.291,1.291,0.40632507859388217,0.01487000978594207,-0.004065115702149441,3.054973542017638e-4,0.94
2,DRLearner_cate_m0,2000,10,1.291,1.291,0.40632507859388217,0.02505155853755408,-0.006734334751189042,3.3965349335015856e-4,0.934
2,DRLearner_cate_m1,2000,10,1.291,1.291,0.40632507859388217,-1.7127275866410685e-17,-1.5254522764661667e-4,0.0010826164152997694,0.944
3,oracle_ate,2000,10,1.291,1.59,0.40632507859388217,0.00498455411816472,-1.6773107192509336e-6,2.5864297142734893e-8,NA
3,oracle_cate_m0,2000,10,1.291,1.59,0.40632507859388217,0.02550544546019108,-2.6092667257040034e-7,2.0985031668068113e-7,NA
3,oracle_cate_m1,2000,10,1.291,1.59,0.40632507859388217,-0.02498592115200217,-5.706951780370114e-6,1.428578656423959e-7,NA
3,gComp_ate,2000,10,1.291,1.59,0.40632507859388217,0.00498455411816472,-0.008270391296819803,3.2327636480911483e-4,0.912
3,gComp_cate_m0,2000,10,1.291,1.59,0.40632507859388217,0.02550544546019108,-3.696843907635389e-4,5.109060677216889e-4,0.951
3,gComp_cate_m1,2000,10,1.291,1.59,0.40632507859388217,-0.02498592115200217,2.8270970105030507e-4,4.982998674076726e-4,0.952
3,causal_forest_ate,2000,10,1.291,1.59,0.40632507859388217,0.00498455411816472,-0.005830516110307964,5.747412697159293e-5,1
3,causal_forest_cate_m0,2000,10,1.291,1.59,0.40632507859388217,0.02550544546019108,-0.005461800491064426,2.1881959440375956e-4,0.977
3,causal_forest_cate_m1,2000,10,1.291,1.59,0.40632507859388217,-0.02498592115200217,-0.006369139483771019,4.921093957594735e-4,0.998
3,DRLearner_ate,2000,10,1.291,1.59,0.40632507859388217,0.00498455411816472,-0.00765353261923906,3.36237325606211e-4,0.921
3,DRLearner_cate_m0,2000,10,1.291,1.59,0.40632507859388217,0.02550544546019108,-0.006626957873689605,3.407687625965587e-4,0.931
3,DRLearner_cate_m1,2000,10,1.291,1.59,0.40632507859388217,-0.02498592115200217,-0.009122186455470437,0.0011050787661764103,0.938
4,oracle_ate,2000,10,1,0.825,0.40632507859388217,0.01014508556374502,1.6455954839650013e-6,7.175769809362185e-8,NA
4,oracle_cate_m0,2000,10,1,0.825,0.40632507859388217,0,0,0,NA
4,oracle_cate_m1,2000,10,1,0.825,0.40632507859388217,0.02496184137294582,5.995494479647447e-6,1.197948516312314e-7,NA
4,gComp_ate,2000,10,1,0.825,0.40632507859388217,0.01014508556374502,0.0033599533044644265,2.6770148088275475e-4,0.945
4,gComp_cate_m0,2000,10,1,0.825,0.40632507859388217,0,1.2037343040003584e-4,4.7907360715478684e-4,0.953
4,gComp_cate_m1,2000,10,1,0.825,0.40632507859388217,0.02496184137294582,1.149209456209819e-5,5.691635218754757e-4,0.946
4,causal_forest_ate,2000,10,1,0.825,0.40632507859388217,0.01014508556374502,-0.010059950577999664,1.2598981316213058e-4,0.997
4,causal_forest_cate_m0,2000,10,1,0.825,0.40632507859388217,0,-0.007651667000855191,2.3661514631197376e-4,0.965
4,causal_forest_cate_m1,2000,10,1,0.825,0.40632507859388217,0.02496184137294582,-0.01355641497516083,6.239573393410743e-4,0.992
4,DRLearner_ate,2000,10,1,0.825,0.40632507859388217,0.01014508556374502,0.0038796508158462084,2.9699306642553115e-4,0.951
4,DRLearner_cate_m0,2000,10,1,0.825,0.40632507859388217,0,5.653063984286427e-4,2.6611991963638537e-4,0.958
4,DRLearner_cate_m1,2000,10,1,0.825,0.40632507859388217,0.02496184137294582,0.008744089361383805,0.0011783207085713514,0.943
5,oracle_ate,2000,10,1,1,0.40632507859388217,0,0,0,NA
5,oracle_cate_m0,2000,10,1,1,0.40632507859388217,0,0,0,NA
5,oracle_cate_m1,2000,10,1,1,0.40632507859388217,0,0,0,NA
5,gComp_ate,2000,10,1,1,0.40632507859388217,0,-1.6131770077133255e-4,2.4938148924490063e-4,0.953
5,gComp_cate_m0,2000,10,1,1,0.40632507859388217,0,-1.4177447957322459e-4,4.832759013222788e-4,0.951
5,gComp_cate_m1,2000,10,1,1,0.40632507859388217,0,-2.3057171377182097e-4,5.333782336389861e-4,0.953
5,causal_forest_ate,2000,10,1,1,0.40632507859388217,0,-6.597081091148127e-4,2.4661334081857708e-5,1
5,causal_forest_cate_m0,2000,10,1,1,0.40632507859388217,0,-2.4015289414725115e-6,1.7610067454714958e-4,0.984
5,causal_forest_cate_m1,2000,10,1,1,0.40632507859388217,0,-0.001624049365368394,4.35675740151599e-4,0.998
5,DRLearner_ate,2000,10,1,1,0.40632507859388217,0,3.522950850062528e-4,2.715005957708446e-4,0.954
5,DRLearner_cate_m0,2000,10,1,1,0.40632507859388217,0,6.244653330729624e-4,2.6721023621925573e-4,0.961
5,DRLearner_cate_m1,2000,10,1,1,0.40632507859388217,0,-4.2979394741401705e-5,0.0010444483780099145,0.949
6,oracle_ate,2000,10,1,1.23,0.40632507859388217,-0.0103082359260685,-1.8557424320125217e-6,7.963855888684843e-8,NA
6,oracle_cate_m0,2000,10,1,1.23,0.40632507859388217,0,0,0,NA
6,oracle_cate_m1,2000,10,1,1.23,0.40632507859388217,-0.02536327056136105,-6.2458837613168814e-6,1.4220305870565388e-7,NA
