group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,1000,10,1.291,1.06,0.4062134097172406,0.024763094137220873,-0.0013797784495558697,5.497389557645122e-4,0.943
1,gComp_cate_m0,1000,10,1.291,1.06,0.4062134097172406,0.024556975297163833,-0.0010376645313152676,0.0010132325059231289,0.953
1,gComp_cate_m1,1000,10,1.291,1.06,0.4062134097172406,0.02506714092665492,3.092187597388697e-4,0.001243359571977971,0.939
1,causal_forest_ate,1000,10,1.291,1.06,0.4062134097172406,0.024763094137220873,-0.023382576855645196,6.006155798625625e-4,0.97
1,causal_forest_cate_m0,1000,10,1.291,1.06,0.4062134097172406,0.024556975297163833,-0.02132672294646666,8.629588972952693e-4,0.885
1,causal_forest_cate_m1,1000,10,1.291,1.06,0.4062134097172406,0.02506714092665492,-0.02647278124860113,0.0017397558060795184,0.984
1,DRLearner_ate,1000,10,1.291,1.06,0.4062134097172406,0.024763094137220873,-2.3350419240995558e-4,6.072444478630631e-4,0.947
1,DRLearner_cate_m0,1000,10,1.291,1.06,0.4062134097172406,0.024556975297163833,-0.007160142842247544,6.174121178665094e-4,0.936
1,DRLearner_cate_m1,1000,10,1.291,1.06,0.4062134097172406,0.02506714092665492,0.00982774790460737,0.0026530372722025747,0.933
2,gComp_ate,1000,10,1.291,1.291,0.4062134097172406,0.01486348508616026,-0.004804772725141586,5.552254561245471e-4,0.94
2,gComp_cate_m0,1000,10,1.291,1.291,0.4062134097172406,0.0250393929749076,-0.0013376816512892652,0.0010326153017179288,0.953
2,gComp_cate_m1,1000,10,1.291,1.291,0.4062134097172406,-1.7130132991889818e-17,5.933754803944616e-4,0.0011286258123171424,0.949
2,causal_forest_ate,1000,10,1.291,1.291,0.4062134097172406,0.01486348508616026,-0.014630121215693483,2.6359112875556885e-4,0.996
2,causal_forest_cate_m0,1000,10,1.291,1.291,0.4062134097172406,0.0250393929749076,-0.014062278138248317,6.006849618724671e-4,0.943
2,causal_forest_cate_m1,1000,10,1.291,1.291,0.4062134097172406,-1.7130132991889818e-17,-0.015608913040392181,0.0012665265174847571,0.991
2,DRLearner_ate,1000,10,1.291,1.291,0.4062134097172406,0.01486348508616026,-0.0037508648589310127,5.956900575624503e-4,0.941
2,DRLearner_cate_m0,1000,10,1.291,1.291,0.4062134097172406,0.0250393929749076,-0.00718388776045939,6.310564292176059e-4,0.932
2,DRLearner_cate_m1,1000,10,1.291,1.291,0.4062134097172406,-1.7130132991889818e-17,0.0011504611759856965,0.002394522663856139,0.938
3,gComp_ate,1000,10,1.291,1.59,0.4062134097172406,0.004983198552814416,-0.00814893978125943,6.072293696287224e-4,0.926
3,gComp_cate_m0,1000,10,1.291,1.59,0.4062134097172406,0.025494469584877118,-0.001336950568597456,0.0010348954687613935,0.952
3,gComp_cate_m1,1000,10,1.291,1.59,0.4062134097172406,-0.024979113640124503,0.0011688320206950484,0.0011033250024738586,0.937
3,causal_forest_ate,1000,10,1.291,1.59,0.4062134097172406,0.004983198552814416,-0.005837501301370958,8.298364473410798e-5,0.999
3,causal_forest_cate_m0,1000,10,1.291,1.59,0.4062134097172406,0.025494469584877118,-0.005913844566686812,4.440724428887446e-4,0.979
3,causal_forest_cate_m1,1000,10,1.291,1.59,0.4062134097172406,-0.024979113640124503,-0.005869095087225353,0.0010155306812054993,0.996
3,DRLearner_ate,1000,10,1.291,1.59,0.4062134097172406,0.004983198552814416,-0.007197030049822306,6.351481159724531e-4,0.926
3,DRLearner_cate_m0,1000,10,1.291,1.59,0.4062134097172406,0.025494469584877118,-0.006766022457260668,6.429228427838635e-4,0.938
3,DRLearner_cate_m1,1000,10,1.291,1.59,0.4062134097172406,-0.024979113640124503,-0.007931692379334717,0.0023696679088415734,0.933
4,gComp_ate,1000,10,1,0.825,0.4062134097172406,0.010140473153420523,0.002448664934172137,5.193973422874191e-4,0.945
4,gComp_cate_m0,1000,10,1,0.825,0.4062134097172406,0,-8.620260870193002e-4,9.570791388051106e-4,0.953
4,gComp_cate_m1,1000,10,1,0.825,0.4062134097172406,0.02495525423772853,-9.159072040354937e-4,0.0012156524849303043,0.946
4,causal_forest_ate,1000,10,1,0.825,0.4062134097172406,0.010140473153420523,-0.009638804887184292,1.4480807942804347e-4,0.998
4,causal_forest_cate_m0,1000,10,1,0.825,0.4062134097172406,0,-0.007411799021945598,4.3142813207053054e-4,0.975
4,causal_forest_cate_m1,1000,10,1,0.825,0.4062134097172406,0.02495525423772853,-0.012939617670474027,0.0011537155129801727,0.994
4,DRLearner_ate,1000,10,1,0.825,0.4062134097172406,0.010140473153420523,0.0035029147523504174,5.778686207461906e-4,0.95
4,DRLearner_cate_m0,1000,10,1,0.825,0.4062134097172406,0,2.592278579533565e-4,5.040643393925816e-4,0.957
4,DRLearner_cate_m1,1000,10,1,0.825,0.4062134097172406,0.02495525423772853,0.0081973876320349,0.0025460447582994613,0.942
5,gComp_ate,1000,10,1,1,0.4062134097172406,0,-4.4214587023165135e-4,5.040127979036561e-4,0.944
5,gComp_cate_m0,1000,10,1,1,0.4062134097172406,0,-0.0010431905494594394,9.744827618630384e-4,0.955
5,gComp_cate_m1,1000,10,1,1,0.4062134097172406,0,-7.466818237856518e-5,0.0011449393480911275,0.952
5,causal_forest_ate,1000,10,1,1,0.4062134097172406,0,-4.985342157803279e-4,5.214898784300093e-5,1
5,causal_forest_cate_m0,1000,10,1,1,0.4062134097172406,0,-2.479177050292779e-4,3.803144123637404e-4,0.986
5,causal_forest_cate_m1,1000,10,1,1,0.4062134097172406,0,-9.654227687618986e-4,9.910493959021539e-4,0.999
5,DRLearner_ate,1000,10,1,1,0.4062134097172406,0,4.6547745461026507e-4,5.551663466750207e-4,0.943
5,DRLearner_cate_m0,1000,10,1,1,0.4062134097172406,0,3.442626125187623e-4,5.161102407725369e-4,0.959
5,DRLearner_cate_m1,1000,10,1,1,0.4062134097172406,0,5.573048693708561e-4,0.0024079187964612496,0.943
6,gComp_ate,1000,10,1,1.23,0.4062134097172406,-0.010303742198448445,-0.003659853012409276,5.365732362458139e-4,0.942
6,gComp_cate_m0,1000,10,1,1.23,0.4062134097172406,0,-0.0010938255206555515,0.001011989652699617,0.95
6,gComp_cate_m1,1000,10,1,1.23,0.4062134097172406,-0.02535648785942893,6.1626475293552e-4,0.001121356890066792,0.943
6,causal_forest_ate,1000,10,1,1.23,0.4062134097172406,-0.010303742198448445,0.008901453864507008,1.2747030187028693e-4,0.999
6,causal_forest_cate_m0,1000,10,1,1.23,0.4062134097172406,0,0.007883629664622905,4.456916680602438e-4,0.976
6,causal_forest_cate_m1,1000,10,1,1.23,0.4062134097172406,-0.02535648785942893,0.010261782681852514,0.0010728936115162741,0.999
6,DRLearner_ate,1000,10,1,1.23,0.4062134097172406,-0.010303742198448445,-0.0028353921389929334,5.736579289331824e-4,0.943
6,DRLearner_cate_m0,1000,10,1,1.23,0.4062134097172406,0,6.097151057988155e-4,5.411488350448558e-4,0.955
6,DRLearner_cate_m1,1000,10,1,1.23,0.4062134097172406,-0.02535648785942893,-0.007980748395554318,0.00242979449756705,0.924
7,gComp_ate,1000,10,0.761,0.63,0.4062134097172406,-0.004362987611128582,0.006931211790253369,5.51921591656919e-4,0.938
7,gComp_cate_m0,1000,10,0.761,0.63,0.4062134097172406,-0.02447982584602828,-5.669345873423781e-4,9.717649248767857e-4,0.946
7,gComp_cate_m1,1000,10,0.761,0.63,0.4062134097172406,0.025023275317038938,-0.0015259291153258288,0.0012014891322398237,0.947
7,causal_forest_ate,1000,10,0.761,0.63,0.4062134097172406,-0.004362987611128582,0.0039641401359645076,6.834609917664307e-5,1
7,causal_forest_cate_m0,1000,10,0.761,0.63,0.4062134097172406,-0.02447982584602828,0.005872348933650068,4.075290641522821e-4,0.977
