group,estimator,sample_size,confounder_number,or_exposure,or_interaction,p_exposure_mean,oracle_mean,bias_mean,MSE,coverage_prob
1,gComp_ate,500,10,1.291,1.06,0.40635063454139675,0.024768075839655856,-0.0010945882427797309,0.0010336194248446364,0.961
1,gComp_cate_m0,500,10,1.291,1.06,0.40635063454139675,0.02456609279775464,-0.002787595522715253,0.002010137728383347,0.948
1,gComp_cate_m1,500,10,1.291,1.06,0.40635063454139675,0.025068300303687306,0.002041929881466535,0.0023679353399592806,0.957
1,causal_forest_ate,500,10,1.291,1.06,0.40635063454139675,0.024768075839655856,-0.021423880549757232,5.923483579022995e-4,0.995
1,causal_forest_cate_m0,500,10,1.291,1.06,0.40635063454139675,0.02456609279775464,-0.020994622144493037,0.0012843014218973806,0.928
1,causal_forest_cate_m1,500,10,1.291,1.06,0.40635063454139675,0.025068300303687306,-0.022178256208397824,0.0026155555844178066,0.994
1,DRLearner_ate,500,10,1.291,1.06,0.40635063454139675,0.024768075839655856,0.0014910210450223196,0.0011467809662624993,0.965
1,DRLearner_cate_m0,500,10,1.291,1.06,0.40635063454139675,0.02456609279775464,-0.006817243754064811,0.00122658847884665,0.939
1,DRLearner_cate_m1,500,10,1.291,1.06,0.40635063454139675,0.025068300303687306,0.013509443574543076,0.004870996515712088,0.946
2,gComp_ate,500,10,1.291,1.291,0.40635063454139675,0.014861189803175327,-0.0045692831983143115,0.001038428542749944,0.953
2,gComp_cate_m0,500,10,1.291,1.291,0.40635063454139675,0.025047900674646153,-0.002677068607503453,0.002062888219098315,0.953
2,gComp_cate_m1,500,10,1.291,1.291,0.40635063454139675,-1.7112571234177698e-17,0.001941935387331992,0.0022153619576466593,0.96
2,causal_forest_ate,500,10,1.291,1.291,0.40635063454139675,0.014861189803175327,-0.012919831867026572,2.9763139641631473e-4,0.999
2,causal_forest_cate_m0,500,10,1.291,1.291,0.40635063454139675,0.025047900674646153,-0.013838584691420651,0.001061411435963629,0.951
2,causal_forest_cate_m1,500,10,1.291,1.291,0.40635063454139675,-1.7112571234177698e-17,-0.011601630297901728,0.0022787490128250987,0.996
2,DRLearner_ate,500,10,1.291,1.291,0.40635063454139675,0.014861189803175327,-0.0017095915149970826,0.0011290169408190154,0.962
2,DRLearner_cate_m0,500,10,1.291,1.291,0.40635063454139675,0.025047900674646153,-0.006521631482481178,0.0012638008220416225,0.944
2,DRLearner_cate_m1,500,10,1.291,1.291,0.40635063454139675,-1.7112571234177698e-17,0.005377337474119585,0.0045770558431248365,0.952
3,gComp_ate,500,10,1.291,1.59,0.40635063454139675,0.004973161475907286,-0.008641467210189052,0.0010871825824048053,0.943
3,gComp_cate_m0,500,10,1.291,1.59,0.40635063454139675,0.025502247642506807,-0.0031453369464141253,0.002081776756069524,0.943
3,gComp_cate_m1,500,10,1.291,1.59,0.40635063454139675,-0.024980877227138817,0.00159124950708199,0.0021237034125823977,0.952
3,causal_forest_ate,500,10,1.291,1.59,0.40635063454139675,0.004973161475907286,-0.004904075656849411,1.4827991309908497e-4,1
3,causal_forest_cate_m0,500,10,1.291,1.59,0.40635063454139675,0.025502247642506807,-0.005959669622525061,8.774796622508565e-4,0.973
3,causal_forest_cate_m1,500,10,1.291,1.59,0.40635063454139675,-0.024980877227138817,-0.0034696917061671434,0.0021125611911908637,0.995
3,DRLearner_ate,500,10,1.291,1.59,0.40635063454139675,0.004973161475907286,-0.0059024880354507205,0.0011567253222634034,0.951
3,DRLearner_cate_m0,500,10,1.291,1.59,0.40635063454139675,0.025502247642506807,-0.006351105232261219,0.0012674780385889027,0.946
3,DRLearner_cate_m1,500,10,1.291,1.59,0.40635063454139675,-0.024980877227138817,-0.0052936686213842605,0.0044743608424636224,0.947
4,gComp_ate,500,10,1,0.825,0.40635063454139675,0.01014692510832025,0.002630910513104099,0.0010541722035411866,0.958
4,gComp_cate_m0,500,10,1,0.825,0.40635063454139675,0,-0.002572229869198375,0.0019711584888300977,0.947
4,gComp_cate_m1,500,10,1,0.825,0.40635063454139675,0.024955745008281408,6.343154639574718e-4,0.002484679586026883,0.953
4,causal_forest_ate,500,10,1,0.825,0.40635063454139675,0.01014692510832025,-0.007928612810485694,1.9921275432288304e-4,1
4,causal_forest_cate_m0,500,10,1,0.825,0.40635063454139675,0,-0.007283333504527262,8.901011373498946e-4,0.971
4,causal_forest_cate_m1,500,10,1,0.825,0.40635063454139675,0.024955745008281408,-0.008895599226629062,0.002256289618577118,0.996
4,DRLearner_ate,500,10,1,0.825,0.40635063454139675,0.01014692510832025,0.005229869234715971,0.0011893973449370791,0.957
4,DRLearner_cate_m0,500,10,1,0.825,0.40635063454139675,0,5.643281800306258e-4,0.0011321534012681067,0.955
4,DRLearner_cate_m1,500,10,1,0.825,0.40635063454139675,0.024955745008281408,0.01203703223088067,0.00510543562304307,0.947
5,gComp_ate,500,10,1,1,0.40635063454139675,0,4.2232572551671084e-5,0.0010509109125015094,0.951
5,gComp_cate_m0,500,10,1,1,0.40635063454139675,0,-0.002872441816701101,0.001993364433866021,0.951
5,gComp_cate_m1,500,10,1,1,0.40635063454139675,0,0.0022274582810137985,0.002370943676953657,0.952
5,causal_forest_ate,500,10,1,1,0.40635063454139675,0,6.21385147759553e-4,1.3775586358185445e-4,1
5,causal_forest_cate_m0,500,10,1,1,0.40635063454139675,0,-8.506654306193149e-4,8.111271377198323e-4,0.98
5,causal_forest_cate_m1,500,10,1,1,0.40635063454139675,0,0.00282256847862931,0.002102473143296738,0.998
5,DRLearner_ate,500,10,1,1,0.40635063454139675,0,0.002637936028595258,0.0011731343526097857,0.954
5,DRLearner_cate_m0,500,10,1,1,0.40635063454139675,0,5.105162125995343e-4,0.0011356479871999616,0.958
5,DRLearner_cate_m1,500,10,1,1,0.40635063454139675,0,0.005849629326736297,0.004796974498929675,0.943
6,gComp_ate,500,10,1,1.23,0.40635063454139675,-0.010310715858031479,-0.0036975811909213314,9.81374558235773e-4,0.955
6,gComp_cate_m0,500,10,1,1.23,0.40635063454139675,0,-0.002753785431670795,0.0019516687653673202,0.958
6,gComp_cate_m1,500,10,1,1.23,0.40635063454139675,-0.02535755057337959,0.0018080413289393497,0.002113110950796601,0.955
6,causal_forest_ate,500,10,1,1.23,0.40635063454139675,-0.010310715858031479,0.009359290854819765,2.0860322122473544e-4,1
6,causal_forest_cate_m0,500,10,1,1.23,0.40635063454139675,0,0.007164307988110014,8.388143039906833e-4,0.986
6,causal_forest_cate_m1,500,10,1,1.23,0.40635063454139675,-0.02535755057337959,0.012489800292312676,0.002139790560186861,0.997
6,DRLearner_ate,500,10,1,1.23,0.40635063454139675,-0.010310715858031479,-0.0010438585420239836,0.0010888568060010834,0.961
6,DRLearner_cate_m0,500,10,1,1.23,0.40635063454139675,0,8.524456709950931e-4,0.0011297798951459203,0.959
6,DRLearner_cate_m1,500,10,1,1.23,0.40635063454139675,-0.02535755057337959,-0.003826870773010014,0.004387978848915,0.943
7,gComp_ate,500,10,0.761,0.63,0.40635063454139675,-0.004355896514290508,0.007305586781252791,0.0011011098993058848,0.943
7,gComp_cate_m0,500,10,0.761,0.63,0.40635063454139675,-0.02449074792368436,-0.0024175452848498695,0.0019444831088893057,0.947
7,gComp_cate_m1,500,10,0.761,0.63,0.40635063454139675,0.025023061202533285,5.480513574451278e-4,0.0025420266909081985,0.953
7,causal_forest_ate,500,10,0.761,0.63,0.40635063454139675,-0.004355896514290508,0.005143720272545425,1.6321142522766622e-4,1
7,causal_forest_cate_m0,500,10,0.761,0.63,0.40635063454139675,-0.02449074792368436,0.005581428521205503,8.222864213013009e-4,0.981
7,causal_forest_cate_m1,500,10,0.761,0.63,0.40635063454139675,0.025023061202533285,0.004583368796981824,0.002085395059480909,0.999
7,DRLearner_ate,500,10,0.761,0.63,0.40635063454139675,-0.004355896514290508,0.009750126070250968,0.0012423095685950623,0.944
7,DRLearner_cate_m0,500,10,0.761,0.63,0.40635063454139675,-0.02449074792368436,0.008230813632564412,0.001134451559231748,0.946
7,DRLearner_cate_m1,500,10,0.761,0.63,0.40635063454139675,0.025023061202533285,0.012026940140536938,0.005040752891266401,0.949
8,gComp_ate,500,10,0.761,0.761,0.40635063454139675,-0.01485829491126969,0.004670164907563282,0.0010331087656026874,0.959
8,gComp_cate_m0,500,10,0.761,0.761,0.40635063454139675,-0.02504392768514372,-0.002411711461298273,0.0019397786000859393,0.952
8,gComp_cate_m1,500,10,0.761,0.761,0.40635063454139675,0,0.0014372278358069034,0.0023704047164769923,0.959
8,causal_forest_ate,500,10,0.761,0.761,0.40635063454139675,-0.01485829491126969,0.014196099673090452,3.3395411853518007e-4,0.999
8,causal_forest_cate_m0,500,10,0.761,0.761,0.40635063454139675,-0.02504392768514372,0.01236662275340837,9.419657745540214e-4,0.972
8,causal_forest_cate_m1,500,10,0.761,0.761,0.40635063454139675,0,0.016927734248249234,0.002290626436176141,0.998
8,DRLearner_ate,500,10,0.761,0.761,0.40635063454139675,-0.01485829491126969,0.007113089006535062,0.0011680319086340408,0.951
8,DRLearner_cate_m0,500,10,0.761,0.761,0.40635063454139675,-0.02504392768514372,0.008346993980414597,0.0011440818601377708,0.949
8,DRLearner_cate_m1,500,10,0.761,0.761,0.40635063454139675,0,0.005374615609358134,0.004745350394283634,0.958
9,gComp_ate,500,10,0.761,0.93,0.40635063454139675,-0.025393691505060455,0.0017020996260327644,9.875409206346792e-4,0.953
9,gComp_cate_m0,500,10,0.761,0.93,0.40635063454139675,-0.025579120433695694,-0.002648052884573807,0.0019486645975831801,0.953
9,gComp_cate_m1,500,10,0.761,0.93,0.40635063454139675,-0.025129419107150417,0.0022959214878462354,0.0022834813362815195,0.957
9,causal_forest_ate,500,10,0.761,0.93,0.40635063454139675,-0.025393691505060455,0.023532465275460164,6.729464707917665e-4,0.997
9,causal_forest_cate_m0,500,10,0.761,0.93,0.40635063454139675,-0.025579120433695694,0.020084681067761224,0.001190460774902227,0.951
9,causal_forest_cate_m1,500,10,0.761,0.93,0.40635063454139675,-0.025129419107150417,0.028531892039504986,0.002823464489217963,0.994
9,DRLearner_ate,500,10,0.761,0.93,0.40635063454139675,-0.025393691505060455,0.004274501943218005,0.0011093798648203765,0.95
9,DRLearner_cate_m0,500,10,0.761,0.93,0.40635063454139675,-0.025579120433695694,0.008707499781634383,0.0011494489899146476,0.95
9,DRLearner_cate_m1,500,10,0.761,0.93,0.40635063454139675,-0.025129419107150417,-0.00219221604692631,0.004677408104577765,0.944
